COGNATE PAIRS

ROMANIAN             PORTUGUESE           
competiție           competição           
compila              compilar             
compilație           compilação           
compilațiune         compilação           
compilatoare         compilador           
compilator           compilador           
complement           complementar         
complet              completamente        
completa             completar            
completiv            completivo           
completivă           completivo           
complex              complexo             
complexa             complexo             
complexiune          complexidade         
complica             complicar            
complicat            complicado           
complicație          complicação          
complicațiune        complicação          
compluviu            compluviu            
component            componente           
compot               compota              
compozit             composto             
compozită            composto             
compoziție           composição           
compozitoare         compositor           
compozitor           compositor           
comprehensibil       compreensível        
comprehensiune       compreensão          
comprehensiv         compreensivo         
compresibil          compressível         
compresiune          compressiva          
compresor            compressor           
comprima             comprimir            
compulsare           compulsare           
compulsie            compulsão            
compune              compor               
computație           computação           
comun                comum                
comună               comuna               
comunal              comunal              
comuneros            comuneros            
comunica             comunicar            
comunicabil          comunicável          
comunicant           comungante           
comunicat            comunicado           
comunicație          comunicação          
comunicațiune        comunicação          
comunicativ          comunicativo         
comunism             comunismo            
comunist             comunista            
comunitate           comunidade           
comuniune            comunhão             
comutație            comutação            
con                  cone                 
conativ              conative             
concă                concha               
concatenație         concatenação         
concav               côncavo              
concavitate          concavidade          
concede              conceder             
concepe              conceber             
concept              conceito             
conceptacul          conceptacul          
concepție            concepção            
concepțiune          concepção            
conceptual           conceptual           
concert              concerto             
concerto             concerto             
concesie             concessão            
concesionar          concessionário       
concesiune           concessão            
concesiv             concessivo           
conchi               conchi               
conchide             concluir             
conchidere           concluir             
conchită             concha               
concilia             conciliar            
conciliațiune        conciliação          
conciliator          conciliador          
concis               conciso              
conclav              conclave             
conclude             concluir             
conclusum            conclusum            
concluzie            conclusão            
concomitant          concomitante         
concomitent          concomitante         
concordat            concordata           
concordia            concordia            
concordie            concórdia            
concrețiune          concreção            
concubină            concubina            
concupiscent         concupiscente        
concupiscență        concupiscência       
concurent            concorrente          
condamna             condenar             
condamnat            condenar             
condensa             condensar            
condensat            condensado           
condensor            condensador          
condescendent        condescendente       
condescinde          condescender         
condescindere        condescender         
condil               côndilo              
condilom             condiloma            
condiscipol          condiscipol          
condițiune           condição             
condor               condor               
conduce              conduzir             
conductanță          condutância          
conductivitate       condutividade        
conductor            condutor             
conexiune            conexão              
confecție            confecção            
confecțiune          confecção            
confesiune           confissão            
confesor             confessor            
confete              confete              
confeti              confete              
configura            configurar           
configurat           configurado          
configurație         configuração         
confinii             confins              
confirma             confirmar            
confirmație          confirmação          
confirmațiune        confirmação          
confisca             confiscar            
conflagrație         conflagração         
conflagrațiune       conflagração         
conflict             conflito             
confluent            confluente           
confluență           confluência          
conformism           conformismo          
conformist           conformista          
confrunta            confrontar           
confunda             confundir            
confuz               confuso              
confuzie             confusão             
confuziune           confusão             
congela              congelar             
congener             congênere            
congenital           congênito            
congestie            congestionamento     
congestiona          congestionar         
congestionare        congestionamento     
congestiv            congestiva           
conglomera           conglomerado         
conglomerat          conglomerado         
conglomerație        conglomeração        
conglomerațiune      conglomerado         
conglutina           conglutina           
conglutinare         conglutinare         
congolez             congolês             
congratulare         congratulare         
congregație          congregação          
congregațiune        congregação          
congres              congresso            
congruent            congruente           
congruență           congruência          
conic                cônico               
conică               cônico               
conidie              conídios             
conifer              conífera             
conivență            conivência           
conjectură           conjetura            
conjuga              conjugar             
conjugal             conjugal             
conjugat             conjugar             
conjuncție           conjunção            
conjuncțiune         conjunção            
conjunctiv           conjuntivo           
conjunctură          conjuntura           
conjura              conjurar             
consacra             consagrar            
consangvin           consanguíneo         
consangvinitate      consanguinidade      
consciŭ              consciŭ              
conscripție          conscrição           
conscripțiune        conscrição           
consecință           conseqüência         
consens              consenso             
conservator          conservador          
considera            considerar           
considerație         consideração         
consilier            conselheiro          
consilieră           conselheiro          
consiliu             conselho             
consista             consiste             
consistent           consistente          
consistoriu          consistório          
consol               consolá              
consolă              consolá              
consolidat           consolidado          
consomme             consomê              
consonant            consoante            
consonanță           consonância          
consonantic          consonântico         
consort              consorciar           
consorțiu            consórcio            
conspira             conspirar            
conspirație          conspiração          
conspirațiune        conspiração          
constant             constante            
constanță            constância           
constantan           constantan           
constante            constante            
constelație          constelação          
constelațiune        constelação          
consternat           consternado          
consternație         consternação         
consternațiune       consternação         
conștient            consciente           
conștiență           consciência          
conștiință           consciência          
constipa             constipar            
constituit           constituiu           
constituție          constituição         
constituțiune        constitutivo         
constricție          constrição           
constrictor          constritor           
constringent         constringente        
construcție          construção           
construcțiune        construção           
constructiv          construtivo          
constructivism       construtivismo       
constructor          construtor           
construi             construir            
consubstanțial       consubstancial       
consubstanțialitate  consubstancialidade  
consul               cônsul               
consular             consular             
consulat             consulado            
consult              consultar            
consuma              consumir             
contabilitate        contabilidade        
contagios            contagioso           
contagiu             contagiu             
contagiune           contágio             
contamina            contaminar           
contaminabil         contaminable         
contempla            contemplar           
contemplație         contemplação         
contemplativ         contemplativo        
contemporan          contemporâneo        
contendent           contendent           
contiguu             contíguo             
conține              conter               
conținea             continham            
continent            continente           
continență           continência          
contingent           contingente          
contingență          contingência         
continua             continuar            
continuitate         continuidade         
continuu             contínuo             
continuum            contínuo             
contrabandă          contrabando          
contrabas            contrabaixo          
contract             contrato             
contracție           contração            
contractual          contratual           
contradicție         contradição          
contradicțiune       contradição          
contradictoriu       contraditório        
contrafort           contraforte          
contraltă            contraltă            
contrapunct          contraponto          
contrar              contrário            
contrariu            contrário            
contrast             contraste            
contratimp           contratempo          
contravenție         contravenção         
contravențiune       contravenção         
contrazice           contradizer          
contribui            contribuir           
contributiv          contributivo         
control              controlar            
controla             controlar            
controlabil          controlável          
controversă          controvérsia         
contubernal          contubernal          
contuberniu          contuberniu          
contumacie           contumácia           
conturbare           conturbare           
contuzie             contusão             
contuziune           contusão             
conul                cone                 
convalescent         convalescente        
convalescență        convalescença        
convecție            convecção            
convenient           conveniente          
convent              convento             
conventicul          conventicul          
convenție            convenção            
convențional         convencional         
convențiune          convenção            
converge             convergir            
convergent           convergente          
convers              convergente          
conversa             conversar            
conversiune          conversão            
converti             converter            
convertibilitate     convertibilidade     
convertit            converter            
convex               convexo              
convexitate          convexidade          
convinge             convencer            
convoi               comboio              
convolvulus          convólvulo           
coopera              cooperar             
cooperațiune         cooperação           
coordinațiune        coordenação          
copie                copiar               
copremie             copremie             
coprofag             coprophagia          
coprolalie           coprolalia           
coprolit             coprolite            
coprologie           coprologic           
coprostazie          coprostazie          
copulă               cópula               
copulativ            copulativo           
cor                  coro                 
corai                coral                
coral                coral                
corală               coral                
corali               coral                
cordierit            cordierite           
cordon               cordão               
cordovan             cordovão             
corecție             correção             
corecțiune           correção             
coree                coréia               
coregraf             coreógrafo           
coregrafă            coreógrafo           
corelație            correlação           
corelativ            correlativo          
coriaceu             coriaceu             
coriamb              coriamb              
coriandru            coentro              
coribant             coribant             
coridor              corredor             
corifee              corifeu              
corifeu              corifeu              
corigibil            corrigível           
corija               corrigir             
corimb               corimbo              
coriză               coriza               
cornalină            cornalină            
cornet               corneta              
cornicul             cornicul             
corniculat           corniculata          
cornifica            cornifica            
cornișă              cornija              
cornut               cornudo              
coroană              coroa                
corobora             corroborar           
coroda               corroer              
corolă               corola               
corolar              corolário            
corona               coroa                
coronal              coronal              
coronar              coronário            
coronară             coronário            
corosiv              corrosivo            
coroziune            corrosão             
corp                 corpo                
corpolent            corpulento           
corpolență           corpulência          
corporal             corporal             
corporație           corporação           
corporațiune         corporação           
corporativ           corporativo          
corpulent            corpulento           
corpulență           corpulento           
corpus               corpus               
corrigenda           corrigenda           
corsar               corsário             
cortex               córtex               
cortical             cortical             
cortină              cortina              
cortizon             cortisona            
corupt               corrupto             
coruptibil           corruptível          
coruptibilitate      corruptibilidade     
corupție             corrupção            
corupțiune           corrupção            
corvadă              corvéia              
corvetă              corveta              
cosmetic             cosmético            
cosmetică            cosméticos           
cosmetice            cosméticos           
cosmic               cósmico              
cosmo                cosmo                
cosmogonie           cosmogonia           
cosmograf            cosmógrafo           
cosmografie          cosmografia          
cosmologie           cosmologia           
cosmopolit           cosmopolita          
cosmos               cosmos               
costal               costal               
costalgie            costalgie            
costotom             costotom             
cotiledon            cotilédone           
coturn               coturno              
coupe                coupe                
coxă                 coxa                 
cozoroc              viseira              
crampă               cãibra               
cranio               cranio               
craniologie          craniologia          
craniometrie         craniometria         
cranioscopie         cranioscopie         
craniu               crânio               
crap                 carpa                
cras                 crasso               
crasă                crasso               
crasulă              crasulă              
crater               cratera              
crea                 criar                
creație              criação              
creațiune            criação              
creator              criador              
creatură             criatura             
credibilitate        credibilidade        
credit               crédito              
creditor             credor               
credul               crédulo              
credulitate          credulidade          
creier               cérebro              
cremă                creme                
cremalieră           cremalheira          
cremațiune           cremação             
cremno               cremno               
cremnofobie          cremnofobie          
cremometru           cremometru           
creol                crioulo              
creolă               crioulo              
creolină             creolina             
creozot              creosoto             
creozota             creosoto             
creozotare           creozotare           
creozotat            creosoto             
crep                 crepe                
crepitațiune         crepitação           
creps                creps                
crepuscul            crepúsculo           
crescendo            crescendo            
cresol               cresol               
cretaceu             cretaceu             
cretin               cretino              
cretinism            cretinismo           
cretinoid            cretinoid            
crezol               cresol               
crichet              críquete             
criminal             criminal             
criosferă            criosfera            
criptă               cripta               
criptografie         criptografia         
criptogramă          criptograma          
criptozoic           criptozóica          
crisalidă            crisálida            
cristal              cristal              
cristalin            cristalino           
cristalografie       cristalografia       
criteriu             critério             
critica              criticar             
critică              crítica              
criză                crise                
croasant             croissant            
croat                croata               
croată               croata               
crochetă             croquete             
crocodil             crocodilo            
cromat               cromato              
cromatină            cromatina            
cromatism            cromatismo           
cronic               crônico              
cronică              crônica              
crono                chrono               
croșet               crochê               
crucifica            crucificar           
crucifix             crucifixo            
crup                 garupa               
crupier              crupiê               
crural               crural               
crustă               crosta               
crustacee            crustáceos           
cŭadruplu            quádruplo            
cuarț                quartzo              
cŭartet              quarteto             
cuaternar            quaternário          
cub                  cubo                 
cubaj                cubagem              
cubatură             cubatură             
cubic                cúbico               
cubică               cúbico               
cubiculum            cubiculum            
cubism               cubismo              
cubist               cubista              
cubital              cubital              
cubitus              cúbito               
cuc                  cuco                 
cucurbitaceŭ         cucurbitaceŭ         
culată               culatra              
culm                 colmo                
culmen               culmen               
culmina              culminar             
culminare            culminação           
culoare              cor                  
culpă                culpa                
culteranism          culteranism          
cultiva              cultivar             
cultivi              cultivar             
cultură              cultura              
cumulus              cúmulo               
cunctator            cunctator            
cuneus               cuneus               
cunicul              cunicul              
cupeu                coupe                
cupolă               cúpula               
cupric               cúprico              
cuprifer             cuprifer             
cupro                cupro                
cupru                cobre                
curabil              curável              
cura                 curar                
curaj                coragem              
curbetă              curveta              
curial               curial               
curieterapie         curieterapie         
curios               curioso              
curiozitate          curiosidade          
cursoare             cursores             
cursor               cursor               
curtezană            cortesã              
cuspidă              cúspide              
cuspidi              cúspides             
custodie             custódia             
cutanat              cutânea              
cutaneu              cutaneu              
cuticulă             cutícula             
cuvertă              cuvertă              
cvadragenar          quadragenário        
cvadrant             quadrante            
cvadratură           quadratura           
cvadrigă             quadrigem            
cvadruman            quadrumanes          
cvartă               quarto               
cvartet              quarteto             
cvasi                quase                
cvincuncial          cvincuncial          
cvintet              quinteto             
cvorum               quorum               
dacnomanie           dacnomanie           
dactil               dáctilo              
dactili              dáctilo              
dactiliomanție       dactiliomanţie       
dactiliotecă         dactiliotecă         
dactilită            dactylitis           
dactilofazie         dactilofazie         
dactilologie         dactilology          
dactiloscopie        dactiloscopy         
dadaism              dadaísmo             
dalie                dália                
dalmatic             dalmática            
dalmatică            dalmática            
daltonism            daltonismo           
dame                 damas                
dans                 dançar               
dansa                dançar               
dantesc              dantesco             
dare                 dando                
dativ                dativo               
debil                débil                
debilita             debilitar            
debilitant           debilitantes         
debilitare           debilitação          
debilitate           debilidade           
debitor              devedor              
debutantă            debutante            
debutare             debutare             
decadă               década               
decadent             decadente            
decadență            decadência           
decaedru             decaedru             
decagram             decagrama            
decalca              decalca              
decalog              decálogo             
decametru            decâmetro            
decan                deão                 
decană               deão                 
decanta              decantar             
decapita             decapitar            
decapitare           decapitação          
decapitat            decapitado           
decasilab            decassilábico        
decatlon             decatlo              
decembre             decembre             
decembrie            dezembro             
decemvir             decênviro            
decenal              decenal              
decent               decente              
decență              decência             
decenvir             decenvir             
decenviral           decenviral           
decibel              decibel              
decide               decidir              
deciduu              deciduu              
decigram             decigrama            
decimal              decimal              
decima               dizimar              
decimetru            decímetro            
decisiv              decisivo             
decizie              decisão              
declamație           declamação           
declamatoriŭ         declamatoriŭ         
declara              declarar             
declarat             declarado            
declarațiune         declaração           
declarativ           declarativo          
declinat             declinaram           
declinație           declinação           
declinațiune         declinação           
declinometru         declinometru         
decocție             decocção             
decocțiune           decocção             
decolare             decolagem            
decora               decorar              
decorație            decoração            
decorațiune          decoração            
decorum              decoro               
decrepit             decrépito            
decrepita            decrépito            
decrescendo          decrescendo          
decret               decreto              
decubit              decúbito             
decurion             decurião             
dedica               dedicar              
dedicat              dedicado             
dedicație            dedicação            
dedicațiune          dedicação            
deduce               deduzir              
deducțiune           dedutivo             
deductiv             dedutivo             
dedus                deduzido             
defeca               defecar              
defecație            defecação            
defecațiune          defecação            
defect               defeito              
defecto              defecto              
deferent             deferente            
deficient            deficiente           
deficiență           deficiência          
defini               definir              
definit              definido             
definiție            definição            
definițiune          definição            
deflagrație          deflagração          
deflegmare           deflegmare           
deflexiune           deflexão             
defluire             defluire             
deforma              deformar             
deformațiune         deformação           
defrauda             defraudar            
defraudare           defraudare           
defraudat            defraudado           
defunct              defunto              
degenera             degenerar            
degenerat            degenerar            
degenerescență       degenerescência      
degetar              dedal                
degrada              degradar             
degustație           degustação           
degustațiune         degustação           
dehiscent            deiscentes           
deicid               deicídio             
deifica              deificar             
deism                deismo               
deist                deísta               
delator              delator              
delega               delegar              
delegat              delegar              
delegată             delegada             
delegație            delegação            
delfin               golfinho             
delfinul             golfinho             
deliberație          deliberativo         
deliberațiune        deliberativo         
deliberativ          deliberativo         
delicat              delicado             
delicios             delicioso            
delicvescent         deliquescente        
deligație            deligaţie            
delimita             delimitar            
delincvent           delinquente          
delineare            delineare            
delir                delírio              
delira               delirar              
delirare             delirare             
deluzoriu            deluzoriu            
demagog              demagogo             
demagogă             demagogo             
demagogie            demagogia            
dement               demente              
demență              demência             
demite               demitir              
demisiune            demissão             
demiurg              demiurgo             
demn                 digno                
demnitar             dignitário           
demnitate            dignidade            
democratiza          democratizar         
demola               demolir              
demolat              demolido             
demon                demônio              
demonetizare         desmonetização       
demonism             demonismo            
demonografie         demonografie         
demonologie          demonologia          
demonstrabil         demonstrável         
demonstrativ         demonstrativo        
demotic              demótico             
denar                denário              
dendrografie         dendrografie         
dendrologie          dendrologia          
dendron              dendron              
denga                dengue               
denigra              denegrir             
denominație          denominação          
denominațiune        denominação          
denominativ          denominativo         
denota               denotar              
denotat              denotado             
denotație            denotação            
dens                 denso                
densi                denso                
densitate            densidade            
densitometru         densitômetro         
dent                 dente                
denti                dentistas            
dentiție             dentição             
dentițiune           dentição             
denunța              denunciar            
departament          departamento         
departamental        departamental        
dependent            dependente           
depila               depilar              
depilare             depilação            
depilator            depilatório          
depinde              depender             
deplora              deplorar             
deplorabil           deplorável           
deponent             depoente             
deporta              deportar             
deportat             deportado            
depozit              depósito             
depozitar            depositário          
depoziție            deposição            
depozițiune          deposição            
deprava              depravar             
depravat             depravada            
deprecatoriu         deprecatoriu         
depresiune           depressão            
deprima              deprimir             
deputat              deputado             
derapa               derrapar             
derapaj              derrapagem           
derapare             derrapar             
derivă               deriva               
deriva               derivar              
derm                 derme                
dermato              dermatologia         
dermatologie         dermatologia         
dermatoree           dermatoree           
dermie               dérmico              
dermoid              dermoid              
deroga               derrogar             
derutare             derrota              
desbate              desbate              
descinde             descer               
descriptibil         descritível          
descripție           descrição            
descripțiune         descritivo           
descriptiv           descritivo           
descriptor           descritor            
desemna              designar             
desinență            desinência           
despot               déspota              
destructibil         destrutível          
destructiv           destrutivo           
destructor           destruidor           
detașament           destacamento         
detecție             detecção             
detectiv             detetive             
detergent            detergente           
determina            determinar           
determinant          determinante         
determinat           determinado          
determinațiune       determinação         
determinism          determinismo         
determinist          determinista         
detestabil           detestável           
detractoare          detrator             
detractor            detrator             
detriment            detrimento           
detritus             detrito              
deuteriu             deutério             
devasta              devastar             
devastare            devastação           
devastator           devastador           
devia                desviar              
devize               divisas              
devoluțiune          devolução            
devora               devorar              
devorant             devorando            
devorare             devorando            
devot                devot                
devotat              devotado             
devoțiune            devoção              
dextralitate         dextralitate         
dextrină             dextrina             
dextra               dextra               
dextrocardie         dextrocardia         
dextrogir            dextrógiro           
dextroză             dextrose             
dextru               dextru               
dezacupla            dezacupla            
dezastros            desastroso           
dezastru             desastre             
dezastruos           desastroso           
dezbatere            debate               
dezertoare           desertor             
dezertor             desertor             
deziderat            desiderato           
diabet               diabetes             
diabolic             diabólico            
diaclază             diaclase             
diacon               diácono              
diaconal             diaconal             
diaconat             diaconato            
diacritic            diacrítico           
diacronic            diacrônica           
diademă              diadema              
diafiză              diáfise              
diaforă              diafora              
diafragmă            diafragma            
diagnostic           diagnóstico          
diagonal             diagonal             
diagonală            diagonal             
dialect              dialeto              
dialectică           dialética            
dialecto             dialecto             
dialectologie        dialetologia         
dialisepal           dialisepal           
dializă              diálise              
dialog               diálogo              
diamagnetic          diamagnetic          
diametru             diâmetro             
diapir               diapir               
diaree               diarréia             
diareie              diarréia             
diastază             diástase             
diastemă             diastema             
diastolă             diástole             
diastrofism          diastrofism          
diaterman            diaterman            
diatonic             diatônico            
diatonică            diatônico            
diatribă             diatribe             
dicaster             dicastério           
dicromatic           dicromático          
dicta                ditar                
dictat               ditar                
dictatoare           ditador              
dictator             ditador              
dictatorial          ditatorial           
dictatură            ditadura             
dicționar            dicionário           
didactic             didático             
diedru               diedro               
diegetic             diegético            
diereză              diérese              
dietă                dieta                
difamant             difamant             
diferență            diferença            
diferențial          diferencial          
diferențială         diferencial          
dificil              difícil              
dificultate          dificuldade          
difident             difident             
difluent             difluent             
difterie             difteria             
diftero              difteria             
difuziune            difusão              
digamma              digamma              
digastric            digástrico           
digeneză             digeneză             
digera               digerir              
digestibil           digestível           
digestie             digestão             
digestiv             digestivo            
digit                dígito               
digital              digital              
digitală             digital              
digresiune           digressão            
dihotomie            dicotomia            
dijmă                décima               
dilatator            dilatador            
dilatoriu            dilatório            
dilemă               dilema               
diletant             diletante            
diletantă            diletante            
diligent             diligente            
diligență            diligência           
diluvian             diluviana            
diluvium             diluvião             
dimer                dímero               
diminutiv            diminutivo           
diminutiva           diminutivo           
dinam                dínamo               
dinamică             dinâmica             
dinamism             dinamismo            
dinamită             dinamite             
dinamo               dínamo               
dinamogeneză         dinamogeneză         
dinamogenie          dinamogenie          
dinamometru          dinamômetro          
dinar                dinar                
dinast               dinasta              
dinastie             dinastia             
dinoteriu            dinoteriu            
dinozaur             dinossauro           
diodă                diodo                
dioic                dióico               
dionisiac            dionisíaco           
dioptrică            dióptrico            
dioramă              diorama              
diorit               diorito              
diplasiasm           diplasiasm           
diplegie             diplegia             
diplococ             diplococos           
diplodoc             diplodoc             
diplofonie           diplofonie           
diplogeneză          diplogeneză          
diploid              diplóide             
diploidie            diplóides            
diplomă              diploma              
diplomat             diplomata            
diplomatic           diplomático          
diplomatică          diplomático          
diplomație           diplomacia           
diplopie             diplopia             
diplostemon          diplostemon          
diptic               díptico              
direcție             direção              
direcțiune           direção              
directivă            directiva            
directoare           diretórios           
director             diretor              
dirham               dirham               
dirijism             dirigismo            
disartrie            disartria            
disartroză           disartroză           
disbazie             disbazie             
disc                 disco                
discerne             discernir            
discernere           discernimento        
dischetă             disquete             
dischinezie          discinesia           
disciplină           disciplina           
disciplinare         disciplinar          
discipol             discípulo            
discipul             discípulo            
disco                discoteca            
discografie          discografia          
discordant           discordante          
discordare           discordare           
discordia            discórdia            
discordie            discórdia            
discrepanță          discrepância         
discret              discreto             
discrețiune          discreto             
discretoriu          discretoriu          
discrimina           discriminar          
discriminant         discriminante        
discriminare         discriminação        
discriminatoriu      discriminador        
discromatic          discromatic          
discromatopsie       discromatopsia       
discurs              discurso             
discuta              discutir             
discuție             discussão            
diseca               dissecar             
disecare             dissecação           
disemina             disseminar           
disensiune           dissensão            
disentiment          disentiment          
disertație           dissertação          
disestezie           disestesia           
disfagie             disfagia             
disfazie             disfasia             
disfonie             disfonia             
disfuncție           disfunção            
disgenezie           dysgenesis           
disgrafie            disgrafia            
disident             dissidente           
disidență            dissidência          
disimula             dissimular           
disjunct             disjunto             
disjunctiv           disjuntivo           
disjunctivă          disjuntivo           
dislalie             dislalia             
dislexie             dislexia             
dismetrie            dismetria            
dismimie             dismimie             
dismnezie            dismnezie            
disocia              dissociar            
disociație           dissociação          
disoluție            dissolução           
disonant             dissonante           
disonanță            dissonância          
disopsie             disopsie             
disorexie            disorexie            
dispendios           dispendios           
dispensar            dispensário          
dispensare           dispensários         
dispeptic            dispéptico           
dispers              dispersos            
dispersie            dispersão            
dispersiune          dispersar            
displazie            displasia            
