COGNATE PAIRS

ROMANIAN             ITALIAN              
fracțiune            frazione             
fractură             frattura             
fragilitate          fragilità            
fragment             frammento            
franchiză            franchising          
frapat               frappé               
fratern              fraterna             
fraternitate         fraternità           
fraterniza           fraternizzare        
fratricid            fratricidio          
frazeologie          fraseologia          
frezie               fresia               
friabil              friabile             
fricando             fricandò             
frigiditate          frigidità            
frontal              frontale             
frontispiciu         frontespizio         
fruct                frutta               
fructifer            fruttifero           
fructificație        fruttificazione      
fructuos             fruttuoso            
frugal               frugale              
frugalitate          frugalità            
fugitiv              fuggitivo            
fulgurație           folgorazione         
fulmicoton           fulmicotone          
fumigație            fumigazione          
fumigațiune          fumigazione          
funcțiune            funzione             
fundamental          fondamentale         
furaj                foraggio             
furajer              foraggio             
furfurol             furfurolo            
furnicare            formica              
futuro               futuro               
gabardină            gabardine            
ganglio              ganglio              
ganglion             ganglio              
gap                  gap                  
garant               garante              
garnizoană           guarnigione          
garum                garum                
gastronomie          gastronomia          
găun                 cavo                 
găună                cavo                 
genealogie           genealogia           
generalitate         generalità           
generațiune          generazione          
generator            generatore           
generic              generico             
generos              generoso             
generozitate         generosità           
genital              genitale             
genito               genito               
genuflexiune         genuflessione        
genuin               genuino              
germinal             germinale            
germinație           germinazione         
germinațiune         germinazione         
gestație             gestazione           
gestațiune           gestazione           
gesticula            gesticolare          
gherilă              guerriglia           
ghilotină            ghigliottina         
ghilotinare          ghigliottina         
ghilotina            ghigliottina         
gimnastic            ginnastica           
gimnastică           ginnastica           
gin                  gin                  
glacial              glaciale             
gladiator            gladiatore           
glaucom              glaucoma             
glebă                gleba                
glicerină            glicerina            
glifă                glifo                
gliptic              glittica             
gliptică             glittica             
globulă              globulo              
globular             globulare            
glomus               glomo                
glorios              glorioso             
glosar               glossario            
glucoză              glucosio             
glucozat             glucosio             
gluten               glutine              
glutinos             glutinoso            
gnais                gneiss               
gnoseologie          gnoseologia          
gnu                  gnu                  
goeletă              goletta              
gradație             gradazione           
gradient             gradiente            
gramatical           grammaticale         
grande               grande               
granulă              granulo              
gratis               gratis               
gravid               gravido              
gravita              gravitare            
gravitate            gravità              
gravitație           gravità              
grenat               granato              
grohăi               grugnito             
guanaco              guanaco              
guano                guano                
guarani              guarani              
hagiograf            agiografo            
hamac                amaca                
haos                 caos                 
hectar               ettaro               
hedonism             edonismo             
hermeneutic          ermeneutica          
hermeneutică         ermeneutica          
hernie               ernia                
herpes               herpes               
hetairă              etera                
heterodinare         eterodina            
hexametru            esametro             
hiat                 iato                 
hibernal             invernale            
hibernare            ibernazione          
hibiscus             ibisco               
hidrat               idrato               
hidrata              idrato               
hidratare            idratazione          
hidraulic            idraulico            
hidromel             idromele             
hieratic             ieratico             
hioid                ioide                
hipnotic             ipnotico             
hipnotiza            ipnotizzare          
hipnoză              ipnosi               
hipodrom             ippodromo            
hipostază            ipostasi             
hirsut               irsuto               
histerectomie        isterectomia         
histerezis           isteresi             
histrion             istrione             
holmiu               olmio                
homicid              omicidio             
hoplit               oplita               
hormon               ormone               
hornblendă           orneblenda           
horoscop             oroscopo             
iacobin              giacobino            
iacobinism           giacobinismo         
iambic               giambico             
iconoclast           iconoclasta          
icter                ittero               
idem                 idem                 
identifica           identificare         
identitate           identità             
idilă                idillio              
idiom                idioma               
idiot                idiota               
idioție              idiozia              
idolatrie            idolatria            
ienicer              giannizzero          
ieremiadă            geremiade            
iernat               svernamento          
ignobil              ignobile             
ilicit               illecito             
ilustru              illustre             
ilustrație           illustrazione        
ilustrațiune         illustrazione        
iluzie               illusione            
iluziune             illusione            
imaginar             immaginario          
imaginație           immaginazione        
imaginațiune         immaginazione        
imago                imago                
imersiune            immersione           
imigrație            immigrazione         
imitabil             imitabile            
imitațiune           imitazione           
imobil               immobile             
imobilitate          immobilità           
imobiliza            immobilizzare        
imortalitate         immortalità          
impasibil            impassibile          
impasibilitate       impassibilità        
impecabil            impeccabile          
impedanță            impedenza            
impenetrabil         impenetrabile        
imperativ            imperativo           
imperial             imperiale            
imperiu              impero               
impermeabil          impermeabile         
imperturbabil        imperturbabile       
impetuos             impetuoso            
implorație           implorazione         
implorațiune         implorazione         
impopularitate       impopolarità         
importare            importare            
imposibilitate       impossibilità        
impostoare           impostore            
impostor             impostore            
impotent             impotente            
impotență            impotenza            
imprecație           imprecazione         
imprecațiune         imprecazione         
impresionism         impressionismo       
impresionist         impressionista       
impresiune           impressione          
impudent             impudente            
impudență            impudente            
impune               imporre              
impunitate           impunità             
impur                impuro               
impuritate           impurità             
imputație            imputazione          
imund                immondo              
imunitate            immunità             
imuniza              immunizzare          
imutabil             immutabile           
imutabilitate        immutabilità         
inaccesibil          inaccessibile        
inamic               nemico               
incert               incerto              
incest               incesto              
incestuos            incestuoso           
incluziune           inclusione           
incontinent          incontinente         
incontinență         incontinenza         
incoruptibil         incorruttibile       
incoruptibilitate    incorruttibilità     
incredul             incredulo            
incubație            incubazione          
incunabul            incunabolo           
incurabil            incurabile           
indeclinabil         indeclinabile        
indeterminabil       indeterminabile      
indeterminat         indeterminato        
indicație            indicazione          
indicațiune          indicazione          
indicativ            indicativo           
indiferență          indifferenza         
indigest             indigesto            
indigestie           indigestione         
indigoferă           indigofera           
indirect             indiretto            
indisciplină         indisciplina         
indisciplinat        indisciplinato       
indiscreție          indiscrezione        
indistinct           indistinto           
individualiza        individualizzare     
indivizibil          indivisibile         
indolent             indolente            
indolență            indolenza            
indubitabil          indubitabile         
induce               indurre              
inductanță           induttanza           
inducție             induzione            
indulgență           indulgenza           
indult               indulto              
industrie            industria            
ineluctabil          ineluttabile         
inept                inetto               
inestimabil          inestimabile         
inexorabil           inesorabile          
inexperiență         inesperienza         
inexpugnabil         inespugnabile        
inextricabil         inestricabile        
infamie              infamia              
infanticid           infanticidio         
inferență            inferenza            
infernal             infernale            
infidelitate         infedeltà            
infinit              infinito             
infinitate           infinito             
infix                infisso              
inflama              infiammare           
inflamație           infiammazione        
inflamațiune         infiammazione        
inflexibil           inflessibile         
inflexiune           inflessione          
informatiza          informatizzare       
infra                infra                
infulă               infula               
infuzie              infusione            
infuziune            infusione            
ingera               ingerire             
ingestie             ingestione           
inghinal             inguinale            
ingluvie             ingluvie             
inhala               inalare              
inhalație            inalazione           
inhalațiune          inalazione           
inhiba               inibire              
inhibiție            inibizione           
inițiator            iniziatore           
injecta              iniettare            
injecție             iniezione            
injustiție           ingiustizia          
inodor               inodore              
insațiabil           insaziabile          
inscripție           iscrizione           
insidios             insidioso            
insista              insistere            
insistare            insistere            
insolație            insolazione          
insolațiune          insolazione          
insolit              insolito             
insolubil            insolubile           
insomnie             insonnia             
inspecție            ispezione            
inspectoare          ispettore            
inspector            ispettore            
inspira              ispirare             
inspirație           ispirazione          
inspirațiune         ispirazione          
instabil             instabile            
instiga              istigare             
instigator           istigatore           
instinct             istinto              
institut             istituto             
instituție           istituzione          
instituțiune         istituzione          
instructiv           istruttivo           
instructor           istruttore           
instrument           strumento            
insular              insulare             
insultă              insultare            
intact               intatto              
integral             integrale            
integrală            integrale            
integrant            integrale            
integrantă           integrale            
integritate          integrità            
intelect             intelletto           
intelecție           intelletto           
intelectual          intellettuale        
inteligent           intelligente         
inteligență          intelligenza         
intens               intenso              
intercede            intercedere          
intercedere          intercedere          
intercepta           intercettare         
intercesiune         intercessione        
interdicțiune        interdizione         
interfață            interfaccia          
interferon           interferone          
interimar            interim              
interimat            interim              
interjecție          interiezione         
interpela            interpellare         
interpola            interpolare          
interpolație         interpolazione       
interpolator         interpolatore        
interpoziție         interposizione       
interpune            interporre           
interregn            interregno           
intersecție          intersezione         
interveni            intervenire          
intervenire          intervenire          
intervenție          intervento           
interviu             intervista           
intimare             intimare             
intonațiune          intonazione          
intoxicare           intossicazione       
intranzitiv          intransitivo         
intrinsec            intrinseco           
introduce            introdurre           
intumescență         intumescente         
inula                inula                
invalida             invalidare           
invazie              invasione            
inventar             inventario           
invenție             invenzione           
inversiune           inversione           
investigator         investigatore        
invincibil           invincibile          
inviolabil           inviolabile          
invitare             invito               
invizibil            invisibile           
invizibilitate       invisibilità         
invoca               invocare             
invocație            invocazione          
involucru            involucro            
involuntar           involontario         
involuție            involuzione          
invulnerabil         invulnerabile        
iod                  iodio                
ipecacuana           ipecacuana           
ipotenuză            ipotenusa            
ipotetic             ipotetico            
iradiație            irradiazione         
iradiațiune          irradiazione         
irațional            irrazionale          
irecuzabil           irrecusabile         
ireligios            irreligioso          
iriga                irrigare             
irigație             irrigazione          
irigațiune           irrigazione          
iritabil             irritabile           
iritabilitate        irritabilità         
iritație             irritazione          
iritațiune           irritazione          
ironic               ironico              
ironie               ironia               
irupție              irruzione            
irupțiune            irruzione            
îs                   se                   
isoscel              isoscele             
istm                 istmo                
iterativ             iterativo            
ivorian              ivoriano             
jardinier            giardiniere          
jartieră             giarrettiera         
jejun                digiuno              
jeton                gettone              
jugulare             giugulare            
junglă               giungla              
juntă                giunta               
jurisdicție          giurisdizione        
justifica            giustificare         
juvenil              giovanile            
juxtapoziție         giustapposizione     
juxtapune            giustapporre         
karibu               caribù               
killer               killer               
koine                koine                
kore                 kore                 
lab                  lab                  
labarum              labaro               
labial               labiale              
labială              labiale              
labiată              labiale              
labie                labiale              
labil                labile               
labirint             labirinto            
laborios             laborioso            
lacerație            lacerazione          
lactescent           lattescente          
lactic               lattico              
lambda               lambda               
lamentație           lamentazione         
lamentațiune         lamentazione         
lanist               lanista              
lanolină             lanolina             
lapicid              lapicida             
lapidar              lapidario            
lapidariu            lapidario            
lăptar               lattaio              
larvă                larva                
larvi                larva                
lasciv               lascivo              
lateral              laterale             
laterit              laterite             
latinitate           latinità             
latrină              latrina              
laudanum             laudano              
laxativ              lassativo            
laxitate             lassità              
lecitină             lecitina             
lectoră              lettorato            
legal                legale               
legaliza             legalizzare          
legatar              legatario            
legatară             legatario            
legație              legazione            
legendă              leggenda             
legionar             legionario           
legislație           legislazione         
legislațiune         legislazione         
legislativ           legislativo          
legislator           legislatore          
legitim              legittimo            
legitima             legittimo            
leguminoasă          legume               
lemur                lemure               
lenticular           lenticolare          
lepidolit            lepidolite           
letargic             letargico            
letargie             letargia             
leton                lettone              
levit                levita               
levuloză             levulosio            
lexic                lessico              
lexicon              lessico              
leziune              lesione              
libație              libagione            
libațiune            libagione            
liberal              liberale             
libertar             libertario           
libertate            libertà              
libertin             libertino            
libertinaj           libertinaggio        
libido               libido               
libră                libra                
liburnă              liburna              
licențios            licenzioso           
liceu                liceo                
lichen               lichen               
lichid               liquido              
lichiditate          liquidità            
ligni                lignite              
lignit               lignite              
liliuță              giglio               
lineament            lineamento           
linear               lineare              
lingotieră           lingottiera          
lingou               lingotto             
lingulă              lingula              
lingvist             linguista            
lingvistă            linguista            
lingvistic           linguistica          
lingvistică          linguistica          
liniar               lineare              
links                link                 
lînos                lanoso               
linotip              linotype             
linșaj               linciaggio           
linșare              linciaggio           
lipomatoză           lipomatosi           
litanie              litania              
literal              letterale            
literar              letterario           
literare             letterario           
literatură           letteratura          
litigios             litigioso            
litopon              litopone             
lituus               lituo                
livid                livido               
livrea               livrea               
lob                  lobo                 
local                locale               
localitate           località             
locomoție            locomozione          
locupletare          locupletare          
loga                 login                
logică               logica               
longevitate          longevità            
lordoză              lordosi              
lorică               lorica               
loțiune              lozione              
lotus                loto                 
lubrifia             lubrificare          
lubrificație         lubrificazione       
lucrativ             lucrativo            
lumbar               lombare              
lumen                lumen                
lunație              lunazione            
lunulă               lunula               
lupulină             luppolina            
lupus                lupus                
lustral              lustrale             
lustrație            lustrazione          
lustrațiune          lustrazione          
luteo                luteo                
luxație              lussazione           
luxațiune            lussazione           
macabru              macabro              
macac                macaco               
macera               macerare             
macerație            macerazione          
macerațiune          macerazione          
macis                macis                
macro                macro                
maculare             maculare             
magdalenian          magdaleniano         
magie                magia                
magistral            magistrale           
magistrat            magistrato           
magnet               magnete              
magnetic             magnetico            
magnific             magnifico            
maiestate            maestà               
maieutică            maieutica            
mailing              mailing              
mână                 mano                 
maioneză             maionese             
major                maggiore             
malar                malare               
maleabil             malleabile           
maleat               maleato              
malefic              malefico             
maleolă              malleolo             
malgaș               malgascio            
malgașă              malgascio            
malic                malico               
malignitate          malignità            
maliție              malizia              
malonic              malonico             
malț                 malto                
mameluc              mamelucco            
mamifer              mammifero            
manager              manager              
mandibulă            mandibola            
mandrină             mandrino             
mânecă               manicotto            
manevrare            manovra              
manevra              manovra              
mango                mango                
mangustă             mangusta             
manichiură           manicure             
manie                mania                
manierist            manierista           
manioc               manioca              
manometru            manometro            
mansardat            mansardato           
mansion              magione              
mantilă              mantiglia            
mantisă              mantissa             
manumisiune          manomissione         
marabut              marabù               
maravedi             maravedi             
mareșal              maresciallo          
margarină            margarina            
mărinimie            magnanimità          
mărinimos            magnanimo            
măritare             măritare             
maritim              marittimo            
marțian              marziano             
martingală           martingala           
masacra              massacro             
masacru              massacro             
masaj                massaggio            
masochism            masochismo           
mastaba              mastaba              
masticațiune         masticazione         
mastită              mastite              
mastopatie           mastite              
masturbație          masturbazione        
material             materiale            
materialism          materialismo         
matri                matrice              
matrice              matrice              
mătrice              matrice              
matricid             matricidio           
matrimonial          matrimoniale         
matronă              matrona              
maturație            maturazione          
maturitate           maturità             
mausoleu             mausoleo             
maxilă               mascellare           
maxilar              mascellare           
maxili               mascellare           
maxim                massimo              
maximă               massimo              
maximum              massimo              
mazurcă              mazurca              
meato                meato                
meconiu              meconio              
medial               mediale              
mediastin            mediastino           
mediație             mediazione           
mediator             mediatore            
medicație            medicazione          
medicațiune          medicazione          
medico               medico               
mediocritate         mediocrità           
medita               meditare             
meditație            meditazione          
meditațiune          meditazione          
mediteran            mediterraneo         
medulo               midollo              
mefitic              mefitico             
megatonă             megaton              
mehari               mehari               
meioză               meiosi               
melc                 lumaca               
meliorism            migliorismo          
membră               membro               
membru               membro               
memorabil            memorabile           
memorandum           memorandum           
memoriza             memorizzare          
menestrel            menestrello          
menisc               menisco              
meniu                menu                 
menstrual            mestruale            
menstrue             mestruale            
ment                 mento                
mentă                menta                
mercenar             mercenario           
mercerie             merceria             
mercur               mercurio             
mericism             mericismo            
merinos              merino               
meristem             meristema            
mescal               mescal               
mesia                messia               
mesianic             messianico           
mesianism            messianismo          
metabolism           metabolismo          
metacarp             metacarpo            
metal                metallo              
metaliza             metallizzare         
metaloid             metalloide           
metalurgie           metallurgia          
metamorfism          metamorfismo         
metamorfoză          metamorfosi          
metastază            metastasi            
metilen              metilene             
metonimie            metonimia            
metraj               metraggio            
metric               metrico              
metropolitan         metropolitano        
metru                metro                
mezenter             mesentere            
miasmă               miasma               
microcosm            microcosmo           
micron               micron               
microprocesor        microprocessore      
midriază             midriasi             
mierlă               merlo                
migra                migrare              
migrațiune           migrazione           
migrenă              emicrania            
milenar              millenario           
militarism           militarismo          
militarist           militarista          
militariza           militarizzare        
miliție              milizia              
milonga              milonga              
minaret              minareto             
mineral              minerale             
mineralizație        mineralizzazione     
mineralogie          mineralogia          
minim                minimo               
minimum              minimo               
minister             ministero            
ministerial          ministeriale         
ministru             ministro             
miniu                minio                
minor                minore               
mintal               mentale              
minus                meno                 
minuscul             minuscolo            
minusculă            minuscolo            
minută               minuto               
miocen               miocene              
miracul              miracolo             
miraj                miraggio             
miscelaneu           miscellanea          
miserere             miserere             
mister               mistero              
mistică              mistico              
mit                  mito                 
mizerie              miseria              
moar                 moire                
mobilitate           mobilità             
mocasin              mocassino            
moderațiune          moderazione          
modernism            modernismo           
modernist            modernista           
moderniza            modernizzare         
modist               modista              
modula               modulare             
modulațiune          modulazione          
molar                molare               
molare               molare               
moleculă             molecola             
molesta              molestare            
molibden             molibdeno            
molibdenit           molibdenite          
monahal              monacale             
monarh               monarca              
monarhie             monarchia            
monism               monismo              
monitoriza           monitorare           
monitorizare         monitoraggio         
monoclu              monocolo             
monogamie            monogamia            
monogramă            monogramma           
monoplan             monoplano            
monopoliza           monopolizzare        
monosilabă           monosillabo          
monoton              monotono             
monstru              mostro               
monstruos            mostruoso            
montan               montagna             
monument             monumento            
moră                 mora                 
moral                morale               
morală               morale               
moralitate           moralità             
mordace              mordace              
morfină              morfina              
moro                 moro                 
mortalitate          mortalità            
mortificațiune       mortificazione       
mortuar              mortuario            
morvă                morva                
motel                motel                
motor                motore               
motoriza             motorizzare          
mucron               mucrone              
mucus                muco                 
muezin               muezzin              
muftiu               mufti                
mulatru              mulatto              
multicolor           multicolore          
multiform            multiforme           
multiplica           moltiplicare         
multiplicand         moltiplicando        
multiplicator        moltiplicatore       
multiplicitate       molteplicità         
mundan               mondano              
mural                murale               
musculos             muscoloso            
muson                monsone              
mustang              mustang              
musterian            musteriano           
mutabil              mutabile             
mutabilitate         mutabilità           
mutație              mutazione            
mutila               mutilare             
mutism               mutismo              
muzeu                museo                
nabab                nababbo              
naftă                nafta                
nandu                nandu                
nanism               nanismo              
narator              narratore            
narcis               narciso              
narcoză              narcosi              
nard                 nardo                
nartex               nartece              
narval               narvalo              
natica               natica               
nație                nazione              
naționaliza          nazionalizzare       
nativ                nativo               
naturalitate         naturalità           
naturism             naturismo            
nausea               nausea               
navetă               navetta              
navigațiune          navigazione          
nazism               nazismo              
nebulos              nebuloso             
nebulozitate         nebulosità           
necropolă            necropoli            
nectar               nettare              
nectari              nettare              
nefrită              nefrite              
nefritic             nefritico            
negație              negazione            
negocia              negoziare            
negociator           negoziatore          
neologism            neologismo           
neon                 neon                 
neuston              neuston              
neutro               neutro               
nicotină             nicotina             
nihilism             nichilismo           
nistagmus            nistagmo             
nitril               nitrile              
nobiliar             nobile               
nocturn              notturno             
nodos                nodoso               
nomenclatură         nomenclatura         
nominal              nominale             
nominativ            nominativo           
non                  non                  
noria                noria                
nostalgie            nostalgia            
notar                notaio               
nota                 notare               
notație              notazione            
notațiune            notazione            
notifica             notificare           
noțiune              nozione              
noutate              novità               
novație              novazione            
novațiune            novazione            
novocaină            novocaina            
nucleol              nucleolo             
nucleotid            nucleotide           
nucleŭ               nucleo               
nuditate             nudità               
nul                  nullo                
nuli                 nullo                
numeral              numerale             
nupțial              nuziale              
nutriție             nutrizione           
nutrițiune           nutrizione           
obediență            obbedienza           
obelisc              obelisco             
obez                 obeso                
obezitate            obesità              
obiect               oggetto              
obiecție             obiezione            
obiectiv             obiettivo            
obiectiva            obiettivo            
oblic                obliquo              
oblica               obliquo              
oblici               obliquo              
oblicitate           obliquità            
obligatoriu          obbligatorio         
oblong               oblungo              
obscen               osceno               
obscenitate          oscenità             
obscurantism         oscurantismo         
obscuritate          oscurità             
observabil           osservabile          
observație           osservazione         
observațiune         osservazione         
observator           osservatore          
obsesie              ossessione           
obsidian             ossidiana            
obstrucție           ostruzione           
obține               ottenere             
obtura               otturare             
obturație            otturazione          
ocazie               occasione            
occident             occidente            
occidental           occidentale          
ocean                oceano               
ocră                 ocra                 
ocru                 ocra                 
octant               ottante              
octogenar            ottuagenario         
oculist              oculista             
oculistă             oculista             
oculomotor           oculomotore          
ocult                occulto              
oculta               occulto              
ocultație            occultazione         
oculus               oculo                
ocupa                occupare             
ocupație             occupazione          
odaliscă             odalisca             
oficie               officiare            
oficial              ufficiale            
oficia               officiare            
oficiere             ufficiatura          
oficiu               ufficio              
ofsaid               fuorigioco           
oleic                oleico               
oleină               oleina               
oleum                oleum                
olfacție             olfatto              
olifant              olifante             
omagiere             omaggio              
ombilic              ombelico             
omento               omento               
omisiune             omissione            
omite                omettere             
omnipotență          onnipotenza          
omniprezent          onnipresente         
omnisciență          onniscienza          
omnium               omnium               
omnivor              onnivoro             
ondatră              ondatra              
oneros               oneroso              
oniric               onirico              
onorabil             onorevole            
onorar               onorario             
opacitate            opacità              
operațiune           operazione           
operatoare           operatore            
operator             operatore            
opercul              opercolo             
opinare              opinare              
opinie               opinione             
opiu                 oppio                
oportunism           opportunismo         
oportunist           opportunista         
oportunitate         opportunità          
opozit               oppositore           
opoziție             opposizione          
opresiune            oppressione          
oprobriŭ             obbrobrio            
optare               optare               
optație              ottativo             
optativ              ottativo             
optic                ottico               
optică               ottico               
optimism             ottimismo            
optimist             ottimista            
opțional             opzionale            
opțiune              opzione              
orație               orazione             
orbicular            orbicolare           
ordinal              ordinale             
organic              organico             
organum              organum              
orgie                orgia                
orientalism          orientalismo         
orientalist          orientalista         
orientalistă         orientalista         
original             originale            
orleanist            orleanista           
ornamentație         ornamentazione       
ortodoxie            ortodossia           
ortografie           ortografia           
osana                osanna               
osanale              osanna               
oscilație            oscillazione         
oscilațiune          oscillazione         
osculație            osculazione          
osculațiune          osculazione          
osmanlâu             osmanli              
osmoză               osmosi               
ospitalitate         ospitalità           
osteită              osteite              
ostilitate           ostilità             
ostium               ostio                
oxalic               ossalico             
oxid                 ossido               
oxida                ossidare             
oxigen               ossigeno             
oxigena              ossigenare           
oximoron             ossimoro             
ozon                 ozono                
ozonat               ozono                
pacifist             pacifista            
pact                 patto                
pagodă               pagoda               
pâine                pane                 
pâinea               pane                 
palanchin            palanchino           
palimpsest           palinsesto           
palinodie            palinodia            
palium               pallio               
palla                palla                
palm                 palma                
palmitină            palmitină            
palpabil             palpabile            
palpa                palpare              
palpebral            palpebra             
panaceie             panacea              
panaceu              panacea              
pancartă             cartello             
pangolin             pangolino            
panoplie             panoplia             
panus                panno                
papilă               papilla              
papism               papismo              
parabolă             parabola             
paraboloid           paraboloide          
paracenteză          paracentesi          
paradigmă            paradigma            
paradox              paradosso            
paralaxă             parallasse           
paralitic            paralitico           
parametru            parametro            
paranoia             paranoia             
paranteză            parentesi            
parazit              parassita            
pareză               paresi               
parietal             parietale            
parietală            parietale            
paritate             parità               
paronomasie          paronomasia          
paronomază           paronomasia          
parotidă             parotide             
partener             partner              
parteneră            partner              
partenogeneză        partenogenesi        
participa            partecipare          
partiție             partizione           
partă                parto                
pasă                 passare              
pasager              passeggero           
pascal               pasquale             
pasional             passionale           
pasivitate           passività            
pasteuriza           pastorizzare         
pastor               pastore              
păstori              pastore              
păstorul             pastore              
pateră               patera               
patern               paterno              
paternitate          paternità            
patetic              patetico             
pateu                pate                 
patrimonial          patrimoniale         
patriotism           patriottismo         
patronimic           patronimico          
patrulare            pattuglia            
patrula              pattuglia            
patrulater           quadrilatero         
patrunghiular        quadrangolare        
patruped             quadrupede           
peaj                 pedaggio             
pebrină              pebrină              
pectoral             pettorale            
peculiar             peculiare            
pedichiură           pedicure             
pedicur              pedicure             
pedologie            pedologia            
pedosferă            pedosferă            
peduncul             peduncolo            
pegmatit             pegmatite            
pehblendă            pechblenda           
pelagră              pellagra             
peliculă             pellicola            
pelotă               pelota               
pelvis               pelvi                
pemfigus             pemfigo              
penal                penale               
penetra              penetrare            
penetrabil           penetrabile          
penetrație           penetrazione         
penetrațiune         penetrazione         
peninsulă            penisola             
penis                pene                 
penitent             penitente            
pensiune             pensione             
pentametru           pentametro           
pentateuh            pentateuco           
pentatlon            pentathlon           
penultim             penultimo            
peonia               peonia               
pepită               pepita               
peplu                peplo                
pepsină              pepsina              
peptonă              peptone              
perceptibil          percettibile         
percepție            percezione           
perdiție             perdizione           
perdițiune           perdizione           
peren                perenne              
perena               perenne              
perfecțiune          perfezione           
perfidie             perfidia             
perfora              perforare            
perforație           perforazione         
perforațiune         perforazione         
perfuzie             perfusione           
pericarp             pericarpo            
pericopă             pericope             
perimetru            perimetro            
perineo              perineo              
perineu              perineo              
perioadă             periodo              
periodic             periodico            
peripatetic          peripatetico         
peripatetism         peripatetismo        
periplu              periplo              
permutație           permutazione         
permutațiune         permutazione         
perora               perorare             
perorație            perorazione          
perpendicular        perpendicolare       
perpendiculară       perpendicolare       
perpetuu             perpetuo             
perpetua             perpetuare           
perplex              perplesso            
perplexitate         perplessità          
persecuție           persecuzione         
persecuțiune         persecuzione         
persecutor           persecutore          
persevera            perseverare          
perseverație         perseverazione       
perseverență         perseveranza         
persuada             persuadere           
persuasiune          persuasione          
pertinent            pertinente           
perversitate         perversità           
perversiune          perversione          
pervertire           pervertire           
pervincă             pervinca             
pesar                pessario             
pesimism             pessimismo           
pesimist             pessimista           
pestilență           pestilenziale        
petală               petalo               
petit                petit                
petiție              petizione            
petițiune            petizione            
petulant             petulante            
petun                petunia              
petunie              petunia              
pi                   pi                   
picaresc             picaresco            
picaro               picaro               
pichet               picchetto            
picric               picrico              
pictor               pittore              
pictură              pittura              
pidgin               pidgin               
piele                pelle                
pietism              pietismo             
pietist              pietista             
pigment              pigmento             
pijama               pigiama              
pileat               pileato              
pilor                piloro               
pineal               pineale              
pineală              pineale              
pinguin              pinguino             
pinion               pignone              
piolet               piolet               
pionier              pioniere             
pionieră             pioniere             
pios                 pio                  
piperazină           piperazina           
pipetă               pipetta              
piramidal            piramidale           
pirat                pirata               
piridină             piridina             
piruetă              piroetta             
pirueta              piroetta             
piscicultură         piscicoltura         
piscină              piscina              
pisiform             pisiforme            
pistil               pistillo             
placebo              placebo              
placentă             placenta             
placiditate          placidità            
plagiat              plagio               
plancton             plancton             
planetă              pianeta              
planetar             planetario           
planetară            planetario           
plantație            piantagione          
plantațiune          piantagione          
plantigrad           plantigrado          
plastic              plastica             
plastică             plastica             
plateresc            plateresco           
plauzibil            plausibile           
plebeu               plebeo               
plebi                plebe                
plebiscit            plebiscito           
pleonasm             pleonasmo            
plerom               pleroma              
plex                 plesso               
plisat               plissettato          
pluralism            pluralismo           
pluralitate          pluralità            
pluvial              pluviale             
pluvio               pluvio               
pneumectomie         pneumonectomia       
podium               podio                
poem                 poesia               
poemă                poesia               
pol                  polo                 
polakiurie           pollachiuria         
policlinică          policlinico          
poligon              poligono             
polio                poliomielite         
poliomielită         poliomielite         
polis                polis                
politehnic           politecnico          
politehnică          politecnico          
politeism            politeismo           
politeist            politeista           
politic              politico             
polo                 polo                 
pompaj               pompaggio            
pompier              pompiere             
pompos               pomposo              
ponderabil           ponderabile          
ponton               pontone              
popular              popolare             
popularitate         popolarità           
populațiune          popolazione          
por                  poro                 
pornograf            pornografo           
pornografie          pornografia          
porțiune             porzione             
posesie              possesso             
posesiune            possesso             
posesiv              possessivo           
posibil              possibile            
posibilitate         possibilità          
poștă                postare              
posterior            posteriore           
posteritate          posterità            
postero              postero              
postula              postulato            
postulație           postulato            
postum               postumo              
postumă              postumo              
potabil              potabile             
potaș                potassa              
potasă               potassa              
potent               potente              
potentat             potentato            
potențial            potenziale           
poțiune              pozione              
poziție              posizione            
pozițiune            positivo             
pozitiv              positivo             
pozitivism           positivismo          
pozitivist           positivista          
pragmatic            pragmatico           
pragmatică           pragmatico           
pragmatism           pragmatismo          
pralină              pralina              
prânz                pranzo               
precept              precetto             
preceptor            precettore           
precesie             precessione          
precesiune           precessione          
precursoare          precursore           
precursor            precursore           
predecesoare         predecessore         
predecesor           predecessore         
predicație           predicazione         
predicațiune         predicazione         
predicativ           predicativo          
predicție            predizione           
prefect              prefetto             
prefectură           prefettura           
prefera              preferire            
preferi              preferire            
pregăti              preparare            
pregusta             pregustare           
pregustat            pregustare           
prematur             prematuro            
premedita            premeditare          
premier              premier              
premoniție           premonizione         
prepara              preparare            
preparație           preparazione         
preparator           preparatore          
preparatoriŭ         preparatorio         
prepoziție           preposizione         
prepuț               prepuzio             
prerogativă          prerogativa          
prescriptibil        prescrittibile       
prescripție          prescrizione         
prestațiune          prestazione          
pretext              pretesto             
pretor               pretore              
pretoriu             pretorio             
prevaricator         prevaricatore        
preventoriu          preventorio          
previn               prevenire            
prevină              prevenire            
prezbiacuzie         presbiacusia         
prezbiopie           presbiopia           
prezbiteriu          presbiterio          
prezerva             preservare           
prezenta             presentare           
primulă              primula              
principat            principato           
priva                privare              
privat               privato              
privațiune           privazione           
privativ             privativo            
privez               privare              
probabilitate        probabilità          
probitate            probità              
problemă             problema             
proceda              procedere            
procesiune           processione          
procesor             processore           
proclama             proclamare           
