COGNATE PAIRS

ROMANIAN             SPANISH              
corpulență           corpulento           
corpus               cuerpo               
corpuscul            corpúsculo           
corset               corsé                
corticoterapie       corticosteroides     
cortină              cortina              
corupt               corrupto             
coruptibil           corruptible          
coruptibilitate      corruptibilidad      
corupție             corrupción           
corupțiune           corrupción           
coruptor             corrupción           
corvetă              corbeta              
cosmic               cósmico              
cosmograf            cosmógrafo           
cosmografă           cosmografía          
cost                 costo                
costal               costal               
cotilion             cotillón             
coturn               coturno              
coxă                 coxa                 
crampă               calambre             
craniu               cráneo               
crap                 carpa                
cras                 craso                
crasă                craso                
crater               cráter               
crea                 crear                
creație              creación             
creațiune            creación             
creator              creador              
creatură             criatura             
credibil             creíble              
credit               crédito              
credo                credo                
credul               crédulo              
credulitate          credulidad           
creier               cerebro              
cremă                crema                
cremațiune           cremación            
crepitațiune         crepitación          
creps                creps                
crepuscul            crepúsculo           
crescendo            crescendo            
cretin               cretino              
criminal             criminal             
criptă               cripta               
cristal              cristal              
cristalin            cristalino           
criză                crisis               
crocodil             cocodrilo            
crom                 cromo                
croma                cromo                
cromo                cromo                
cronic               crónico              
croșet               croché               
crucial              crucial              
crucifer             crucíferas           
cruciferă            crucíferas           
crucifix             crucifijo            
crupă                grupa                
crupier              crupier              
crural               crural               
crustacee            crustáceos           
cuarț                cuarzo               
cŭartet              cuarteto             
cuaternar            cuaternario          
cub                  cubo                 
cubic                cúbico               
cubică               cúbico               
cubism               cubismo              
cubital              cubital              
cucurbitacee         cucurbitáceas        
culi                 culi                 
culinar              culinario            
culmen               culmen               
culmina              culminará            
culoare              color                
culpă                culpa                
culpabil             culpable             
cult                 culto                
cultură              cultura              
cumpăra              comprar              
cumpărare            comprar              
cumulus              cúmulo               
cuneiform            cuneiforme           
cupiditate           codicia              
cuplet               copla                
cupolă               cúpula               
cupon                cupón                
cupru                cobre                
curabil              curable              
cura                 curar                
curatelă             tutela               
curent               corriente            
curenta              corriente            
curial               curial               
curios               curioso              
curiozitate          curiosidad           
curs                 curso                
cursoare             cursores             
cursor               cursor               
cuspidă              cúspide              
cuspidi              cúspides             
custode              custodio             
custodie             custodia             
cusutură             costuras             
cuticulă             cutícula             
cvadragenar          cuadragenario        
cvadrant             cuadrante            
cvadratură           cuadratura           
cvadrienal           cuadrienal           
cvadruman            cuadrúmanos          
cvadruplu            cuádruple            
cvadrupla            cuádruple            
cvartet              cuarteto             
cvasi                casi                 
cvintet              quinteto             
cvorum               quórum               
dadaism              dadaísmo             
dalmatic             dalmático            
dalmatică            dalmático            
damă                 dama                 
dare                 dando                
dativ                dativo               
de                   de                   
debil                débil                
debilita             debilitar            
debilitare           debilidad            
debilitat            debilitado           
debilitate           debilidad            
debitor              deudor               
debut                debut                
debutare             debutare             
decadă               década               
decalog              decálogo             
decan                decano               
decană               decano               
decapita             decapitar            
decapitat            decapitado           
decembrie            diciembre            
decenal              decenal              
decență              decencia             
decenviral           decenviral           
decepție             decepción            
decepțiune           decepción            
decide               decidir              
decizie              decisión             
declamație           declamación          
declara              declarar             
declarație           declaración          
declarațiune         declaración          
declarativ           declarativo          
declinație           declinación          
declinațiune         declinación          
decoct               decocción            
decocție             decocción            
decocțiune           decocción            
decorum              decoro               
decrepit             decrépito            
decrepita            decrépito            
decrescendo          decrescendo          
decret               decreto              
decubit              decúbito             
decumbent            decumbente           
dedica               dedicar              
dedicat              dedicado             
dedicație            dedicación           
dedicațiune          dedicación           
deduce               deducir              
deductiv             deductivo            
dedus                deducida             
defeca               defecar              
defecație            defecación           
defecațiune          defecación           
defect               defecto              
deferent             deferente            
deficient            deficiente           
deficiență           deficiencia          
defini               definir              
definit              definida             
definiție            definición           
definițiune          definición           
deflagrație          deflagración         
deflație             deflación            
deforestare          deforestación        
deforma              deformar             
deformat             deformado            
deformațiune         deformación          
defrauda             defraudar            
defraudare           defraudare           
defraudat            defraudado           
degenera             degenerar            
degenerat            degenerar            
degetar              dedal                
degrada              degradar             
degradat             degradado            
dehiscent            dehiscente           
deifica              deificar             
deism                deísmo               
deist                deísta               
delatoare            delator              
delator              delator              
delega               delegar              
delegat              delegar              
delegată             delegado             
delegație            delegación           
delfin               delfín               
delfinul             delfín               
deliberativ          deliberativo         
delicat              delicado             
delicios             delicioso            
delicvescent         delicuescente        
delincvent           delincuente          
delineare            delineare            
delir                delirio              
delira               delirar              
delirare             delirare             
deltaic              deltaico             
dement               demente              
demență              demencia             
demn                 digno                
demnitate            dignidad             
demola               demoler              
demolat              demolido             
demonstrabil         demostrable          
demonstrație         demostración         
demonstrativ         demostrativo         
denar                denario              
denigra              denigrar             
denominație          denominación         
denominațiune        denominación         
denominativ          denominativo         
denota               denotar              
denotat              denotado             
denotație            denotación           
dens                 denso                
densi                denso                
densitate            densidad             
dental               dental               
dentală              dental               
dentiție             dentición            
dentițiune           dentición            
denunța              denunciar            
departament          departamento         
depila               depilarse            
depilat              depilado             
deplora              deplorar             
deplorabil           deplorable           
deponent             deponente            
depopula             despoblar            
deporta              deportar             
deportat             deportados           
depozit              depósito             
depozitar            depositario          
deprava              depravar             
depresiune           depresión            
deprima              deprimir             
deriva               derivar              
derivație            derivación           
derivațiune          derivación           
deroga               derogar              
derviș               derviche             
descinde             descender            
descins              descendido           
descripție           descripción          
descriptiv           descriptivo          
descriptor           descriptor           
descuama             descamarse           
descuamat            descamarse           
destructiv           destructivo          
destructor           destructor           
detaliu              detalle              
detașa               destacar             
detectiv             detective            
deteriorat           deteriorado          
determina            determinar           
determinațiune       determinación        
detestabil           detestable           
detracta             detractor            
detracțiune          detractor            
detractoare          detractor            
detractor            detractor            
detriment            detrimento           
detritus             detrito              
devasta              devastar             
devastat             devastado            
devastator           devastador           
devia                desviar              
deviație             desviación           
deviațiune           desviación           
devoluțiune          devolución           
devora               devorar              
devorant             devorando            
devorare             devorando            
devoțiune            devoción             
dexter               diestro              
dextrină             dextrina             
dextrogir            dextrógiro           
dezerțiune           desertor             
dezertoare           desertor             
dezertor             desertor             
diabolic             diabólico            
diacon               diácono              
diaconal             diaconal             
diademă              diadema              
diafragmă            diafragma            
diagonal             diagonal             
diagonală            diagonal             
dialect              dialecto             
dialectic            dialéctico           
dialectică           dialéctica           
dialog               diálogo              
diametru             diámetro             
diaree               diarrea              
diareie              diarrea              
diastolă             diástole             
diatribă             diatriba             
dicta                dictar               
dictat               dictar               
dictatoare           dictador             
dictator             dictador             
dictatură            dictadura            
dicționar            diccionario          
dieceză              diócesis             
diereză              diéresis             
dietă                dieta                
diferență            diferencia           
dificil              difícil              
dificultate          dificultad           
difuziune            difusión             
digera               digerir              
digestibil           digestible           
digestie             digestión            
digestiv             digestivo            
digit                dígito               
digital              digital              
digitală             digital              
digresiune           digresión            
dijmă                diezmo               
dilatator            dilatador            
dilatoriu            dilatorio            
dilemă               dilema               
diletant             diletante            
diletantă            diletante            
diligent             diligente            
diligență            diligencia           
diluțiune            dilución             
diluvium             diluvio              
diminua              disminuir            
diminutiv            diminutivo           
diminutiva           diminutivo           
dinar                dinar                
dioceză              diócesis             
dionisiac            dionisíaco           
diplomă              diploma              
dipter               díptero              
direcție             dirección            
direcțiune           dirección            
director             director             
discerne             discernir            
disciplină           disciplina           
discipol             discípulo            
discipul             discípulo            
discordare           discordare           
discordia            discordia            
discordie            discordia            
discrepanță          discrepancia         
discret              discreto             
discreție            discreción           
discrețiune          discreto             
discrimina           discriminar          
discriminare         discriminación       
discurs              discurso             
discuta              discutir             
discuție             discusión            
disecție             disección            
disemina             diseminar            
diseminat            diseminado           
disensiune           disensión            
disertație           disertación          
disident             disidente            
disidență            disidencia           
disimula             disimular            
disjuncție           disyunción           
disjunctiv           disyuntivo           
disjunctivă          disyuntivo           
disocia              disociar             
disociație           disociación          
disoluție            disolución           
disonanță            disonancia           
dispepsie            dispepsia            
dispers              disperso             
dispersie            dispersión           
dispersiv            dispersión           
dispnee              disnea               
dispneie             disnea               
dispozitiv           dispositivo          
disputare            disputare            
distant              distante             
distanță             distancia            
distensie            distensión           
distih               dístico              
distinct             distinto             
distincție           distinción           
distinge             distinguir           
distorsiune          distorsión           
distribui            distribuir           
distribuție          distribución         
distributiv          distributivo         
district             distrito             
distrugător          destructor           
ditiramb             ditirambo            
ditirambic           ditirámbico          
diuretic             diurético            
diurn                diurno               
divaga               divagar              
divagare             divagar              
diverge              divergir             
divergent            divergente           
divers               diverso              
diversifica          diversificar         
diversitate          diversidad           
diverticul           divertículo          
divide               dividir              
dividend             dividendo            
divin                divino               
divinitate           divinidad            
diviz                división             
divizibil            divisible            
divizionism          divisionismo         
diviziune            división             
divizor              divisor              
divorț               divorcio             
divulgator           divulgador           
dizenterie           disentería           
dizolva              disolver             
docil                dócil                
docilitate           docilidad            
doctor               doctor               
doctrină             doctrina             
doctrinal            doctrinal            
document             documento            
doge                 dux                  
dogmă                dogma                
dogmatic             dogmático            
dogmatică            dogmático            
dolar                dólar                
dolmen               dolmen               
doloric              dolor                
domesticitate        domesticidad         
domina               dominar              
dominat              dominado             
dominație            dominación           
dominical            dominical            
donație              donación             
doric                dórico               
dormi                dormir               
dormitoare           dormitorio           
dormitor             dormitorio           
dotă                 dote                 
dotal                dotal                
dramă                drama                
dramatic             dramático            
drenă                drenar               
drenaj               drenaje              
drena                drenar               
dromader             dromedario           
druid                druida               
drupă                drupa                
dual                 dual                 
dualitate            dualidad             
dubitativ            dubitativo           
dubitativă           dubitativo           
dublă                doble                
dublu                doble                
ducal                ducal                
ductil               dúctil               
duel                 duelo                
duet                 dueto                
duo                  dúo                  
duoden               duodeno              
duplex               dúplex               
duplica              duplicar             
duplicație           duplicación          
duplicitate          duplicidad           
durabil              durable              
duramater            duramadre            
duramen              duramen              
duritate             dureza               
duș                  ducha                
duumvirat            duunvirato           
duunvir              duunvir              
e                    e                    
ebuliometru          ebullómetro          
ebuliție             ebullición           
ebulițiune           ebullición           
echilater            equilátero           
echin                equino               
echină               equino               
echinocțial          equinoccial          
echinocțiu           equinoccio           
echipat              equipado             
echitate             equidad              
echitație            equitación           
echitațiune          equitación           
echivalent           equivalente          
echivoca             equívoco             
ecleziastic          eclesiástico         
eclipsă              eclipse              
ecloziune            eclosión             
economic             económico            
economie             economía             
ecou                 eco                  
ecuație              ecuación             
ecŭațiune            ecuación             
ecuator              ecuador              
ecumenic             ecuménico            
ecvestru             ecuestre             
ecvin                equino               
edict                edicto               
edicule              edículo              
edificiu             edificio             
edit                 editar               
edita                editar               
ediție               edición              
edițiune             editor               
editoare             editores             
editor               editor               
educa                educar               
educație             educación            
educațiune           educación            
educator             educador             
efect                efecto               
efector              efector              
eferent              eferente             
efervescent          efervescente         
eficace              eficaz               
eficient             eficiente            
eficiență            eficiencia           
efigie               efigie               
eflorescent          eflorescente         
efluviu              efluvio              
efuzie               efusión              
efuziune             efusión              
egal                 igual                
egala                igual                
egalitate            igualdad             
egidă                égida                
eglogă               égloga               
ego                  ego                  
egocentrism          egocentrismo         
egoism               egoísmo              
elabora              elaborar             
elaborat             elaborar             
elastic              elástico             
eleatic              eleática             
electiv              electivo             
electric             eléctrico            
electrocuta          electrocutar         
electrod             electrodo            
elefantiazis         elefantiasis         
elegant              elegante             
eleganță             elegancia            
elegiac              elegíaco             
elegie               elegía               
element              elemento             
eleron               alerón               
elevație             elevación            
elice                hélice               
elimina              eliminar             
elipsă               elipse               
elită                élite                
eliziune             elisión              
elocință             elocuencia           
elocŭent             elocuente            
elocuțiune           elocución            
elocvent             elocuente            
elocvență            elocuencia           
elogiu               elogio               
elongație            elongación           
eluda                eludir               
emana                emanar               
emanație             emanación            
emanațiune           emanación            
emancipa             emancipar            
emancipat            emancipado           
emancipație          emancipación         
emancipațiune        emancipación         
emblemă              emblema              
emersiune            emersión             
emetic               emético              
emigra               emigrar              
emigrație            emigración           
emigrațiune          emigración           
eminent              eminente             
eminență             eminencia            
emir                 emir                 
emisar               emisario             
emisferă             hemisferio           
emistih              hemistiquio          
emolient             emoliente            
emolument            emolumentos          
emoție               emoción              
emoțiune             emoción              
empiric              empírico             
emulație             emulación            
emulațiune           emulación            
emulgent             emulgente            
emulsie              emulsión             
emulsiv              emulsión             
encaustic            encáustico           
encaustică           encáustico           
enclitic             enclítico            
energie              energía              
energumen            energúmeno           
enigmă               enigma               
enigmatic            enigmático           
enorm                enorme               
enormitate           enormidad            
entitate             entidad              
enuclea              enuclea              
enucleare            enucleare            
enumera              enumerar             
enumerație           enumeración          
enumerațiune         enumeración          
enunța               enunciar             
epatare              epatare              
epic                 épico                
epică                épico                
epicen               epiceno              
epicureu             epicúreo             
epidermă             epidermis            
epigramă             epigrama             
epigramatic          epigramático         
epilepsie            epilepsia            
epileptic            epiléptico           
epilog               epílogo              
episcop              obispo               
episcopal            episcopal            
episcopat            episcopado           
epistolar            epistolar            
epitaf               epitafio             
epitalam             epitalamio           
epitet               epíteto              
epitomă              epítome              
epodă                epodo                
eradica              erradicar            
erată                errata               
eratic               errático             
erbacee              herbáceo             
erbaceŭ              herbáceo             
erbicid              herbicida            
erbicida             herbicida            
erbivor              herbívoro            
erboriza             herborizar           
erecție              erección             
ereditar             hereditario          
ergotină             ergotina             
ergotism             ergotismo            
erija                erigirse             
erizipel             erisipela            
ermină               armiño               
eroare               error                
eroic                heroico              
eroină               heroína              
erou                 héroe                
eroziune             erosión              
erubescent           erubescente          
eructa               eructa               
erudit               erudito              
erupție              erupción             
escarpă              escarpa              
escortă              escolta              
esenian              esenio               
esență               esencia              
esențial             esencial             
est                  este                 
estimat              estimar              
estru                estro                
estuar               estuario             
etapă                etapa                
eter                 éter                 
etern                eterno               
eternitate           eternidad            
eteroclit            heteróclita          
etichetă             etiqueta             
etimologic           etimológico          
etimologie           etimología           
etnic                étnico               
etrusc               etrusco              
etruscă              etrusco              
eufonie              eufonía              
euharistie           eucaristía           
eunuc                eunuco               
euritmie             euritmia             
evacua               evacuar              
evalua               evaluar              
evangelic            evangélico           
evangelist           evangelista          
evanghelic           evangélico           
evangheliza          evangelizar          
evapora              evaporar             
evaziune             evasión              
eversiune            eversión             
evident              evidente             
evidență             evidencia            
evita                evitar               
evitabil             evitable             
evoca                evocar               
evoluțiune           evolución            
exacerba             exacerbar            
exacerbat            exacerbado           
exagera              exagerar             
exala                exhalar              
exalație             exhalación           
exalta               exaltar              
exaltație            exaltación           
exaltațiune          exaltación           
examen               examen               
examinator           examinador           
exaspera             exasperar            
exasperat            exasperado           
excava               excavar              
excavațiune          excavación           
exceda               excede               
excelent             excelente            
excelență            excelencia           
excepție             excepción            
exces                exceso               
excita               excitar              
excitabil            excitable            
excitație            excitación           
excitațiune          excitación           
excitatoare          excitador            
exclama              exclamar             
exclamație           exclamación          
exclamațiune         exclamación          
exclude              excluir              
exclus               excluidos            
excluziune           exclusión            
excomunica           excomulgar           
excrement            excremento           
excreție             excreción            
execrabil            execrable            
exedră               exedra               
exemplu              ejemplo              
exempt               exento               
exhaustiv            exhaustivo           
exhiba               exhibir              
exigent              exigente             
exil                 exilio               
exod                 éxodo                
exorbitant           exorbitante          
exorcism             exorcismo            
exorcist             exorcista            
exordiu              exordio              
exotic               exótico              
expansiune           expansión            
expansiv             expansivo            
expectație           expectativa          
expediție            expedición           
experiență           experiencia          
experiment           experimento          
expert               experto              
expertă              experto              
expia                expiar               
expiație             expiación            
expiațiune           expiación            
expiator             expiatorio           
explica              explicar             
explicabil           explicable           
explicat             explicado            
explicație           explicación          
explicit             explícito            
explicita            explícito            
explora              explorar             
explorat             explorado            
explorator           explorador           
explozie             explosión            
exploziune           explosión            
exporta              exportar             
expoziție            exposición           
expozițiune          exposición           
expres               expreso              
expresie             expresión            
expulsie             expulsión            
expulza              expulsar             
extensiune           extensión            
extenso              extenso              
exterior             exterior             
extermina            exterminar           
exterminat           exterminado          
exterminator         exterminador         
extern               externo              
externa              externo              
extincție            extinción            
extorsiune           extorsión            
extracție            extracción           
extrage              extraer              
extraordinar         extraordinario       
extras               extraer              
extremă              extremo              
extrinsec            extrínseco           
extruda              extrudir             
exuberant            exuberante           
exuberanță           exuberancia          
exulcera             exulcera             
exulta               exultar              
fabianism            fabianismo           
fabrică              fábrica              
fabricare            fabricar             
fabricat             fabricado            
fabricațiune         fabricación          
fabulă               fábula               
fabulos              fabuloso             
fachir               faquir               
facies               facies               
facil                fácil                
facile               fácil                
facilitate           facilidad            
facțiune             facción              
factor               factor               
factură              factura              
faculă               fácula               
fagot                fagot                
faimă                fama                 
faimos               famoso               
falangă              falange              
falanster            falansterio          
falciform            falciforme           
falcon               halcón               
faliat               falla                
fals                 falso                
falsitate            falsedad             
falus                falo                 
familiar             familiar             
familiaritate        familiaridad         
familie              familia              
fanatic              fanático             
fantasmă             fantasma             
fantasmagorie        fantasmagoría        
fantastic            fantástico           
fantazie             fantasía             
far                  faro                 
farmaceutic          farmacéutico         
farmacie             farmacia             
farsă                farsa                
fasciculă            fascículo            
fascinație           fascinación          
fascinațiune         fascinación          
fascinator           fascinador           
fascism              fascismo             
făt                  feto                 
fatal                fatal                
fatalitate           fatalidad            
fațetă               faceta               
fatidic              fatídico             
faun                 fauno                
fauni                faunos               
favorabil            favorable            
fax                  fax                  
fazan                faisán               
febră                fiebre               
febrifug             febrífugo            
febril               febril               
februarie            febrero              
feculă               fécula               
feculent             feculento            
fecund               fecundo              
fecundat             fecundado            
fecunditate          fecundidad           
federal              federal              
federat              federación           
federație            federación           
federațiune          federativo           
feldspat             feldespato           
felin                felino               
felină               felino               
femur                fémur                
fenestra             fenestra             
fenix                fénix                
fenomen              fenómeno             
fermenta             fermentar            
fermentare           fermentar            
fermentat            fermentada           
fermentație          fermentación         
fermentațiune        fermentación         
fero                 ferro                
feroce               feroz                
ferocitate           ferocidad            
fertilitate          fertilidad           
feruginos            ferruginoso          
fervent              ferviente            
festin               fiesta               
festiv               festivo              
festival             festival             
festivitate          festividad           
feston               festón               
fetid                fétido               
fetiș                fetiche              
fetus                feto                 
feudă                feudo                
fiasco               fiasco               
fibră                fibra                
ficțiune             ficción              
fidelitate           fidelidad            
fiduciar             fiduciario           
fierar               herrero              
figurație            figuración           
figurativ            figurativo           
filament             filamento            
file                 filete               
fileu                filete               
filial               filial               
filială              filial               
filiație             filiación            
filiațiune           filiación            
filiform             filiforme            
filigran             filigrana            
filosoafă            filósofo             
filosof              filósofo             
filozoafă            filósofo             
filozof              filósofo             
filozofa             filosofar            
filozofare           filosofar            
filozofic            filosófico           
fimbrie              fimbrias             
final                final                
finală               final                
finalitate           finalidad            
financiar            financiero           
finanță              financiar            
finanța              financiar            
finanțe              financiar            
finit                finito               
firmament            firmamento           
fiscal               fiscal               
fistulă              fístula              
fistular             fistular             
fistulos             fistuloso            
fizic                físico               
fizică               física               
flacără              llama                
flaccid              flácido              
flagela              flagelar             
flagrant             flagrante            
flamă                llama                
flamin               flamen               
flan                 flan                 
flanelă              franela              
flatus               flato                
flexibil             flexible             
flexibilitate        flexibilidad         
flexiune             flexión              
flexo                flexo                
flexor               flexor               
flexură              flexura              
floare               flor                 
floarea              flor                 
floral               floral               
floricultură         flor                 
florin               florín               
flotă                flota                
flota                flota                
fluctua              fluctuar             
fluctuație           fluctuación          
fluctuațiune         fluctuación          
fluid                fluido               
fluor                flúor                
flux                 flujo                
fluxiune             flujo                
foliculă             folículo             
foliolă              foliolo              
foliu                folio                
fonda                fundar               
fondat               fundado              
foramen              foramen              
foraminifer          foraminíferos        
forceps              fórceps              
forjă                forja                
forjare              forja                
form                 forma                
formă                forma                
formal               formal               
format               formato              
formație             formación            
formațiune           formación            
formidabil           formidable           
formulă              fórmula              
fornicație           fornicación          
forță                fuerza               
fortificant          fortificado          
fortificat           fortificado          
fortificație         fortificación        
fortuit              fortuito             
fosil                fósil                
fosilă               fósil                
fotbal               fútbol               
fotochimic           fotoquímico          
fotogenic            fotogénico           
fractal              fractal              
fracție              fracción             
fracțiune            fracción             
fractură             fractura             
fragă                fresa                
fragil               frágil               
fragilitate          fragilidad           
fragment             fragmento            
fragrant             fragante             
francofon            francófona           
franj                franja               
franjă               franja               
frate                hermano              
fraternitate         fraternidad          
fratricid            fratricidio          
fraudă               fraude               
frază                frase                
frecat               fregar               
frecŭent             frecuente            
frecvență            frecuencia           
frecventativ         frecuentativo        
fregată              fragata              
frescă               fresco               
friabil              friable              
fricțiune            fricción             
frigid               frígido              
frivol               frívolo              
front                frente               
frontispiciu         frontispicio         
fructifica           fructificar          
fructificație        fructificación       
