COGNATE PAIRS

ROMANIAN             TURKISH              
migrenă              migren               
mili                 mili                 
miliard              milyar               
miliarde             milyar               
milioane             milyon               
milion               milyon               
militant             militan              
miliție              milis                
mim                  mim                  
mimă                 mim                  
mimoză               mimoza               
mineral              mineral              
mini                 mini                 
miniatură            minyatür             
minibuz              minibüs              
minimizat            minimize             
minion               minyon               
miop                 miyop                
mirt                 mersin               
misionar             misyoner             
misionară            misyoner             
misiune              misyon               
mistic               mistik               
mitocondrie          mitokondri           
mitologie            mitoloji             
mitral               mitral               
mobbing              mobbing              
mobilă               mobilya              
mobilier             mobilya              
mocasin              mokasen              
model                model                
modela               model                
modem                modem                
modern               modern               
modificat            modifiye             
modul                modül                
modulare             modülasyon           
modulat              modüle               
moleculă             molekül              
molibden             molibden             
monadă               monad                
monarhie             monarşi              
monism               monizm               
mono                 mono                 
monoclu              monokl               
monografie           monografi            
monogramă            monogram             
monoic               mono                 
monolog              monolog              
monoton              monoton              
montare              montaj               
moped                moped                
moratoriu            moratoryum           
morenă               moren                
morf                 morf                 
morfină              morfin               
morfo                morfolojik           
morgă                morg                 
moron                moron                
mors                 mors                 
morsă                mors                 
motel                motel                
motivare             motivasyon           
motivat              motive               
motivație            motivasyon           
motocicletă          motosiklet           
motor                motor                
mozaic               mozaik               
mozaica              mozaik               
mozaicare            mozaik               
mozaicat             mozaik               
mus                  mus                  
mutație              mutasyon             
muzeu                müze                 
muzică               müzik                
naftalină            naftalin             
napalm               napâlm               
narcisism            narsizm              
narcoză              narkoz               
navigare             navigasyon           
navigație            navigasyon           
nebuloasă            nebula               
necroză              nekroz               
necrozare            nekroz               
nectar               nektar               
nectari              nektar               
nefrită              nefrit               
negativ              negatif              
negativa             negatif              
nematod              nematod              
neon                 neon                 
nepotizm             nepotizm             
net                  net                  
nete                 net                  
neurastenie          nevrasteni           
neuro                nöro                 
neurologie           nöroloji             
neuron               nöron                
neutra               nötr                 
neutru               nötr                 
nevralgie            nevralji             
nicotină             nikotin              
nihilism             nihilizm             
nihilist             nihilist             
nihilizm             nihilizm             
nișă                 niş                  
nistagmus            nistagmus            
nitrat               nitrat               
nitric               nitrik               
nitro                nitro                
nitroglicerină       nitrogliserin        
nominal              nominal              
nominalism           nominalizm           
normal               normal               
nostalgie            nostalji             
notar                noter                
nucleat              nükleik              
nucleo               nükleotid            
ob                   ob                   
oboi                 obua                 
obsidian             obsidyen             
ocean                okyanus              
octan                oktan                
octavă               oktav                
ocular               oküler               
oficiu               ofis                 
ofis                 ofis                 
ofsaid               ofsayt               
oid                  oid                  
oleic                oleik                
oleină               olein                
oleomargarină        margarin             
oligarhie            oligarşi             
oligo                oligo                
ombudsman            ombudsman            
omega                omega                
omletă               omlet                
omogen               homojen              
omolog               homolog              
oncologie            onkoloji             
onix                 oniks                
onoare               onur                 
onomastic            onomastik            
ontic                ontik                
ontologie            ontoloji             
oocit                oosit                
oolit                oolit                
opac                 opak                 
opacă                opak                 
opal                 opal                 
operă                opera                
operație             operasyon            
operațiune           operasyon            
operatoare           operatör             
operator             operatör             
operetă              operet               
oportunism           oportünizm           
optic                optik                
optică               optik                
optim                optimum              
optimiza             optimize             
optimizare           optimizasyon         
optimizat            optimize             
optimizm             optimize             
oral                 oral                 
orchestră            orkestra             
orchestrare          orkestrasyon         
orgă                 organ                
organ                organ                
organic              organik              
organism             organizma            
organizare           organizasyon         
orgasm               orgazm               
orientare            oryantasyon          
original             orijinal             
ornitologie          ornitoloji           
orto                 orto                 
ortodonție           ortodonti            
ortodontologie       ortodontik           
osteo                osteo                
osteologie           osteoloji            
osteoporoză          osteoporoz           
oval                 oval                 
overlock             overlok              
ovocit               oosit                
ovoid                oval                 
oxid                 oksit                
oxidare              oksidasyon           
oxigen               oksijen              
ozon                 ozon                 
ozonat               ozon                 
pachet               paket                
pact                 pakt                 
padoc                padok                
paladiu              palladyum            
paleo                paleo                
paleolitic           paleolitik           
paleontologie        paleontoloji         
paleozoic            paleozoik            
palindrom            palindrom            
palm                 palmiye              
palmier              palmiye              
palmieri             palmiye              
pancreas             pankreas             
panel                panel                
panică               panik                
panica               panik                
panicat              panik                
panoramă             panorama             
pansament            pansuman             
pansare              pansuman             
pantalon             pantolon             
pantaloni            pantolon             
panteism             panteizm             
panteon              panteon              
panteră              panter               
pantograf            pantograf            
pantomim             pandomim             
pantomimă            pandomim             
papă                 papa                 
papirus              papirüs              
paradox              paradoks             
parafină             parafin              
parafina             parafin              
paragraf             paragraf             
paralaxă             paralaks             
paralelă             paralel              
parametru            parametre            
paranteză            parantez             
paraplegie           parapleji            
parașută             paraşüt              
parașutare           paraşüt              
paratoner            paratoner            
paratrăsnet          paratoner            
parazit              parazit              
parazita             parazit              
parazitare           parazit              
parc                 park                 
parchet              parke                
pardon               pardon               
parfum               parfüm               
paritate             parite               
parlament            parlamento           
parodie              parodi               
parodia              parodi               
parolă               parola               
partid               parti                
partizan             partizan             
pasifloră            pasiflora            
pasiv                pasif                
pastel               pastel               
pasteurizat          pastörize            
pastilă              pastil               
pastișă              pastiş               
pastoral             pastoral             
pastorală            pastoral             
patent               patent               
patentă              patent               
pateu                pate                 
patogen              patojen              
patologie            patoloji             
pătrat               kare                 
patron               patron               
pectină              pektin               
pedală               pedal                
pedi                 pedi                 
pediatrie            pediatri             
pedichiură           pedikür              
pedicur              pedikür              
pedie                pedi                 
pedo                 pedo                 
pelerină             pelerin              
pelican              pelikan              
pelvis               pelvis               
penicil              penisilin            
penis                penis                
penta                penta                
pepsină              pepsin               
performanță          performans           
pergament            parşömen             
pericard             perikard             
periscop             periskop             
peritoneu            periton              
permutare            permutasyon          
permutație           permutasyon          
peroxid              peroksit             
perspectiv           perspektif           
perspectivă          perspektif           
perucă               peruk                
pesimizm             pesimizm             
petrografie          petrografi           
petrologie           petroloji            
petun                petunya              
petunie              petunya              
pi                   pi                   
pian                 piyano               
pigmeŭ               pigme                
pigment              pigment              
pijama               pijama               
pilon                pilon                
pilot                pilot                
pilotare             pilot                
pilota               pilot                
pion                 piyon                
pipetă               pipet                
piramidă             piramit              
piranha              pirana               
pireu                püre                 
pirită               pirit                
pisoar               pisuar               
piston               piston               
piton                piton                
piure                püre                 
pivot                pivot                
pixel                piksel               
placebo              plasebo              
placentă             plasenta             
plajă                plaj                 
plan                 plan                 
plancton             plankton             
planor               planör               
plasm                plazma               
plasmă               plazma               
plastic              plastik              
plastică             plastik              
platină              platin               
platonic             platonik             
platou               plato                
plisare              plise                
plutocrație          plutokrasi           
pneumococ            pnömokok             
pneumopatie          pnömoni              
pneumotorax          pnömotoraks          
podium               podyum               
polarizare           polarizasyon         
polarizat            polarize             
polcă                polka                
polemic              polemik              
polemică             polemik              
polen                polen                
poleni               polen                
policlinică          poliklinik           
polifonie            polifoni             
polimer              polimer              
polip                polip                
polis                polis                
politehnic           politeknik           
politehnică          politeknik           
politici             politika             
poliție              polis                
poliuretan           poliüretan           
polo                 polo                 
pompon               ponpon               
popular              popüler              
populare             popüler              
porfir               porfir               
porno                porno                
porțelan             porselen             
portret              portre               
post                 posta                
poster               poster               
postmodern           postmodern           
potasiu              potasyum             
potențial            potansiyel           
potpourri            potpuri              
poza                 poz                  
poziție              pozisyon             
pozitiv              pozitif              
pragmatic            pragmatik            
pragmatică           pragmatik            
pralină              pralin               
prestigiu            prestij              
prezervativ          prezervatif          
principe             prens                
principesă           prenses              
prinț                prens                
prințesă             prenses              
procedură            prosedür             
profil               profil               
profila              profil               
profilare            profil               
program              program              
proiect              proje                
proiectare           projeksiyon          
proiecție            projeksiyon          
proletar             proleter             
prolog               prolog               
propagandă           propaganda           
prospect             prospektüs           
prostată             prostat              
proteină             protein              
protesta             protesto             
protestare           protesto             
proteză              protez               
proto                proto                
protocol             protokol             
prototip             prototip             
provă                pruva                
psihanaliză          psikanaliz           
psihiatră            psikiyatrist         
psihiatru            psikiyatrist         
psihologie           psikoloji            
psihoză              psikoz               
puding               puding               
punk                 punk                 
puritan              püriten              
rachetă              roket                
radar                radar                
radian               radyan               
radiar               radyal               
radiație             radyasyon            
radiațiune           radyasyon            
radiator             radyatör             
radical              radikal              
radioactiv           radyoaktif           
radiologie           radyoloji            
radioscopie          radyoskopi           
rafie                rafya                
rafinat              rafine               
rafting              rafting              
ralia                ralli                
rampă                rampa                
rap                  rap                  
raport               rapor                
raporta              rapor                
rapsodie             rapsodi              
rapsodiere           rapsodi              
rațional             rasyonel             
reabilitare          rehabilitasyon       
reabilitat           rehabilite           
recepție             resepsiyon           
recif                resif                
recital              resital              
recreare             rekreasyon           
recreație            rekreasyon           
rect                 rektum               
recte                rektör               
recțiune             rektör               
rector               rektör               
rectoscopie          rektoskopi           
rectum               rektum               
referendum           referandum           
referință            referans             
reflex               refleks              
reflexie             refleks              
reformă              reform               
reformare            reformasyon          
regim                rejim                
regulator            regülatör            
releu                röle                 
remorcă              römork               
remorca              römork               
reostat              reosta               
repertoriu           repertuar            
reportaj             röportaj             
restaurant           restoran             
restaurare           restorasyon          
retină               retina               
retuș                rötuş                
retușa               rötuş                
retușare             rötuş                
retușat              rötuş                
retușoare            rötuş                
retușor              rötuş                
reumatism            romatizma            
revizie              revizyon             
revizuit             revize               
revolver             revolver             
rezervă              rezerv               
rezervare            rezervasyon          
rezervoriŭ           rezervuar            
rezonanță            rezonans             
risca                risk                 
robot                robot                
rococo               rokoko               
rol                  rol                  
roman                roman                
romanță              romantizm            
romanțat             romantizm            
romantic             romantik             
roquefort            rokfor               
rosbif               rozbif               
rotație              rotasyon             
rotațiune            rotasyon             
rozetă               rozet                
rubidiu              rubidyum             
ruf                  ruf                  
ruj                  ruj                  
rula                 rulo                 
ruletă               rulet                
rulou                rulo                 
runic                rünik                
rustic               rustik               
rutină               rutin                
sabotaj              sabotaj              
sabotare             sabotaj              
sabota               sabotaj              
sadism               sadizm               
safari               safari               
salamandră           semender             
salicilic            salisilik            
salmon               somon                
salon                salon                
șaman                şaman                
șampanie             şampanya             
șampon               şampuan              
samurai              samuray              
sanatoriu            sanatoryum           
sandală              sandalet             
sandvici             sandviç              
sandviș              sandviç              
șansă                şans                 
șantaj               şantaj               
santină              sintine              
sanviș               sandviç              
șarlatan             şarlatan             
satin                saten                
satinat              saten                
satir                satir                
savană               savan                
saxofon              saksofon             
scandal              skandal              
scenariŭ             senaryo              
schelet              iskelet              
schizoid             şizoid               
sciatică             siyatik              
scleroză             skleroz              
sclerozare           skleroz              
sclerozat            skleroz              
scolastic            skolastik            
scrimă               eskrim               
scrima               eskrim               
secant               sekant               
secantă              sekant               
secretar             sekreter             
secretară            sekreter             
sector               sektör               
sedan                sedan                
seismo               sismik               
seismograf           sismograf            
semantică            semantik             
seminar              seminer              
șemineu              şömine               
semnal               sinyal               
senat                senato               
senatoare            senatör              
senator              senatör              
septic               septik               
septicemie           septisemi            
sequoia              sekoya               
ser                  serum                
seră                 sera                 
șerb                 serf                 
serenadă             serenat              
serial               seri                 
serigrafia           serigrafi            
serotonină           serotonin            
serv                 serf                 
servi                servis               
șevalet              şövale               
sex                  seks                 
sextă                sekstant             
sextant              sekstant             
sexy                 seksi                
sezon                sezon                
sfinx                sfenks               
șic                  şık                  
sicativ              sikatif              
signal               sinyal               
silicat              silikat              
siliciŭ              silikon              
șiling               şilin                
siloz                silo                 
siluetă              siluet               
silueta              siluet               
simbioză             sembiyoz             
simetrie             simetri              
simfonie             senfoni              
simpatie             sempati              
simpozion            sempozyum            
simptom              semptom              
simulare             simülasyon           
simulație            simülasyon           
sinagogă             sinagog              
sinapsă              sinaps               
sincopă              senkop               
sincopare            senkop               
sincretic            senkretik            
sindical             sendika              
sindicat             sendika              
sindrom              sendrom              
sinergie             sinerji              
sinteză              sentez               
sinus                sinüs                
siroco               siroko               
sistem               sistem               
slalom               slalom               
slogan               slogan               
smalț                emaye                
smegmă               smegma               
smoching             smokin               
social               sosyal               
sociologie           sosyoloji            
sofist               sofist               
sofistă              sofist               
solariu              solaryum             
solfegiŭ             solfej               
solist               solist               
solistă              solist               
sonar                sonar                
sonată               sonat                
sondă                sonda                
sondare              sonda                
sonda                sonda                
sonet                sone                 
sote                 sote                 
șovin                şoven                
spasm                spazm                
spastic              spastik              
spatulă              spatula              
spectroscop          spektroskop          
spectru              spektrum             
speculație           spekülasyon          
speculațiune         spekülasyon          
speleologie          speleoloji           
speologie            speleoloji           
sperm                sperm                
spermă               sperm                
spermaceti           ispermeçet           
spermatozoid         sperm                
spicher              spiker               
spiral               spiral               
spirala              spiral               
spoiler              spoiler              
sponsor              sponsor              
sport                spor                 
spray                sprey                
stafilococ           stafilokok           
standard             standart             
star                 star                 
static               statik               
statică              statik               
stație               istasyon             
statistică           istatistik           
stațiune             istasyon             
steauă               star                 
steak                biftek               
stearină             stearin              
steno                steno                
stenografie          steno                
stereo               stereo               
stereoscop           stereoskop           
steril               steril               
sterlină             sterlin              
stil                 stil                 
stilo                stilo                
stoc                 stok                 
stocastic            stokastik            
stocastică           stokastik            
strateg              stratejist           
strategie            strateji             
stratosferă          stratosfer           
strepto              streptokok           
streptococ           streptokok           
stres                stres                
stricnină            striknin             
striptis             striptiz             
studio               stüdyo               
sufleu               sufle                
sulfurat             sülfür               
super                süper                
surf                 sörf                 
surfila              sürfile              
surfilare            sürfile              
surfing              sörf                 
surprinde            sürpriz              
surprindere          sürpriz              
surpriză             sürpriz              
suspendare           süspansiyon          
suspensie            süspansiyon          
tabel                tablo                
tabelă               tablo                
tabletă              tablet               
tabletare            tablet               
tableta              tablet               
tactic               taktik               
tactică              taktik               
tahicardie           taşikardi            
taiga                tayga                
taliu                talyum               
tampon               tampon               
tandem               tandem               
tanin                tanen                
tantal               tantal               
tapiocă              tapyoka              
tapir                tapir                
taroc                tarot                
tarot                tarot                
tartă                tart                 
taxi                 taksi                
taxie                taksi                
teaser               teaser               
teatru               tiyatro              
tectonic             tektonik             
tectonică            tektonik             
tehnic               teknik               
tehnică              teknik               
teism                teizm                
telefon              telefon              
telegraf             telgraf              
telemetra            telemetri            
telemetru            telemetre            
teleologie           teleoloji            
telepatie            telepati             
telescop             teleskop             
telescopa            teleskop             
telescopare          teleskop             
telur                tellür               
temă                 tema                 
tenie                tenya                
tenis                tenis                
tenor                tenor                
teo                  teo                  
teocrație            teokrasi             
teoremă              teorem               
teorie               teori                
tera                 tera                 
terapeut             terapist             
terapeută            terapist             
terasă               teras                
terasa               teras                
termal               termal               
termie               termos               
terminal             terminal             
terminologie         terminoloji          
termită              termit               
teroare              terör                
test                 test                 
testa                test                 
testare              test                 
testosteron          testosteron          
tetanos              tetanos              
tetra                tetra                
tetras               tetra                
textil               tekstil              
textile              tekstil              
teză                 tez                  
themă                tema                 
thesis               tez                  
tic                  tik                  
țigară               sigara               
tinctură             tentür               
tip                  tip                  
tiradă               tirad                
tiran                tiran                
tirană               tiran                
tirbușon             tirbuşon             
tirfon               tirfon               
tiroid               tiroid               
tiroidă              tiroid               
titan                titanyum             
titrare              titrasyon            
toaletă              tuvalet              
toaleta              tuvalet              
toast                tost                 
toleranță            tolerans             
toluen               tolüen               
tomată               domates              
tomo                 tomo                 
ton                  ton                  
tonă                 ton                  
tonic                tonik                
tonică               tonik                
tonus                ton                  
topaz                topaz                
topo                 topo                 
topografie           topografya           
topologie            topoloji             
totalitar            totaliter            
toxic                toksik               
tractor              traktör              
trafic               trafik               
tragedie             trajedi              
tragic               trajik               
trahom               trahom               
trampolin            trampolin            
tramvai              tramvay              
trans                trans                
transă               trans                
transatlantic        transatlantik        
transcriere          transkripsiyon       
transcripție         transkripsiyon       
transfera            transfer             
transferare          transfer             
transit              transit              
transmisie           transmisyon          
transmisiune         transmisyon          
transmitere          transmisyon          
tranzistor           transistor           
tranzit              transit              
tranzita             transit              
tranzitare           transit              
trapez               trapez               
traul                trol                 
traulare             trol                 
traumă               travma               
travertin            traverten            
tren                 tren                 
trenă                tren                 
tribun               tribün               
tricot               triko                
trigonometrie        trigonometri         
trilion              trilyon              
trombon              trombon              
tromboni             trombon              
trompet              trompet              
trompetă             trompet              
tropism              tropizm              
tsunami              tsunami              
tub                  tüp                  
tubă                 tuba                 
tuberculoză          tüberküloz           
tubul                tüp                  
tuf                  tüf                  
tumoare              tümör                
tunel                tünel                
turbă                turba                
turbină              türbin               
turbulență           türbülans            
turcoaz              turkuaz              
turcoază             turkuaz              
turist               turist               
turmalină            turmalin             
turnesol             turnusol             
turneŭ               tur                  
turnichet            turnike              
turnir               turnuva              
tweed                tüvit                
ulcer                ülser                
ulcus                ülser                
ultimatum            ültimatom            
ultra                ultra                
umanist              hümanist             
umflare              enflasyon            
unci                 ons                  
uncie                ons                  
uniform              üniforma             
uniformă             üniforma             
universitate         üniversite           
upercut              aparkat              
upercuta             aparkat              
uree                 üre                  
uremie               üremi                
uretan               üretan               
utopie               ütopya               
uvertură             uvertür              
vacuum               vakum                
vagin                vajina               
vagină               vajina               
vals                 vals                 
valsa                vals                 
valvă                valf                 
vampă                vamp                 
vandalism            vandalizm            
vanilie              vanilya              
varan                varan                
variant              varyant              
variantă             varyant              
variație             varyasyon            
variațiune           varyasyon            
vasal                vasal                
vaselină             vazelin              
vasistas             vasistas             
vaso                 vazo                 
vecto                vektör               
vectoare             vektör               
vector               vektör               
vegetarian           vejetaryen           
ventriloc            vantrilok            
ventrilocă           vantrilok            
vermut               vermut               
versiune             versiyon             
veterinar            veteriner            
veto                 veto                 
viaduct              viyadük              
viconte              vikont               
video                video                
vilă                 villa                
virgulă              virgül               
virtuoz              virtüoz              
virus                virüs                
viscoză              viskoz               
vitamină             vitamin              
vitraliu             vitray               
viză                 vize                 
viziune              vizyon               
vizon                vizon                
vocal                vokal                
vodevil              vodvil               
volei                voleybol             
volt                 volt                 
voltmetru            voltmetre            
vulcan               volkan               
vulvă                vulva                
watt                 vat                  
windsurf             windsurf             
xilofon              ksilofon             
yoga                 yoga                 
yuppie               yuppie               
zebră                zebra                
zigot                zigot                
zircon               zirkon               
zodiac               zodyak               
zombi                zombi                
